Time (s),Tilt up/down (deg),Tilt left/right (deg)
609.0,157.845618,-120.58309675000001
610.0,157.5355835,-121.48489789999999
611.0,159.38046555,-120.77543165
612.0,158.31246325,-121.4823324
613.0,159.88322435,-121.29061665
614.0,160.74530985,-121.2672204
615.0,160.28484125,-121.2283532
616.0,160.1161631,-121.1685592
617.0,160.3861369,-121.14872270000001
618.0,160.4367336,-121.13227280000001
619.0,159.90680974999998,-121.04820715
620.0,159.87392375,-121.04009335
621.0,160.51896814999998,-121.10596000000001
622.0,160.33254920000002,-121.0273503
623.0,159.81502834999998,-121.0068738
624.0,160.32839495000002,-121.08171575
625.0,159.84843365,-120.9848875
626.0,159.7713398,-121.06981455
627.0,159.75445125,-121.0921293
628.0,159.18419705000002,-121.02239420000001
629.0,159.87201095,-121.12689599999999
630.0,159.491133,-121.0215364
631.0,159.62326645000002,-121.07701945
632.0,159.4634547,-120.9876859
633.0,159.4894793,-121.00467005
634.0,159.6361149,-121.03705819999999
635.0,159.35744449999999,-120.97979434999999
636.0,159.85513815000002,-121.0850197
637.0,159.5340739,-120.99066395
638.0,159.53135405,-121.0049544
639.0,159.88784320000002,-121.07776875
640.0,159.41422415,-121.01230724999999
641.0,159.70985765,-121.0604791
642.0,159.61379145,-121.0269447
643.0,159.45787315,-120.9992777
644.0,159.80882785,-121.06747845
645.0,159.4388849,-120.98372760000001
646.0,159.81834705,-121.08314709999999
647.0,159.64056065,-121.01144875
648.0,159.4696144,-120.9881362
649.0,159.9030213,-121.0822471
650.0,159.5032544,-121.0164
651.0,159.37796935,-120.97837565
652.0,159.83325625,-121.10846215000001
653.0,159.5417216,-121.0015597
654.0,159.65697145000001,-121.05438045
655.0,159.6799188,-121.07474289999999
656.0,158.77079675,-120.92051359999999
657.0,158.9265784,-120.98451025
658.0,158.6129679,-120.8468489
659.0,159.20435475,-120.9245284
660.0,159.43730395,-121.0265508
661.0,158.51610745,-120.81884665
662.0,159.20667755,-120.98014285
663.0,159.17093485,-120.94432655
664.0,159.1408866,-120.91481865
665.0,159.5116739,-121.0439681
666.0,159.1360665,-120.92774779999999
667.0,159.24480615,-120.97300535
668.0,159.48299175,-121.01387125
669.0,159.0807335,-120.936198
670.0,159.43413885,-121.03533155
671.0,159.34135955,-120.9550526
672.0,159.21604059999999,-120.9538838
673.0,159.56393494999998,-121.02125425
674.0,159.160291,-120.8985399
675.0,159.67582585,-121.0096648
676.0,159.47756885,-120.94232155
677.0,159.4801947,-120.9556453
678.0,160.15717289999998,-121.10622305
679.0,159.84400255,-120.9498897
680.0,159.7989645,-120.98974129999999
681.0,159.9917489,-121.02422705000001
682.0,159.83070565,-120.9621995
683.0,159.7194713,-121.0214858
684.0,160.6047832,-121.249112
685.0,160.76781605,-121.09501345
686.0,160.78519154999998,-121.1297131
687.0,161.165579,-121.19872409999999
688.0,161.10605175,-121.11825495
689.0,160.91691165,-121.1903343
690.0,161.0719411,-121.1535287
691.0,161.35608465,-121.13856855
692.0,161.31108895,-121.13323195000001
693.0,161.06965674999998,-121.07245395000001
694.0,161.22602455,-121.08324404999999
695.0,162.98474414999998,-121.2758399
696.0,162.5537156,-121.1393457
697.0,162.70747849999998,-121.1952969
698.0,162.53539304999998,-121.16967844999999
699.0,162.55258715000002,-121.16545529999999
700.0,162.75457089999998,-121.21648
701.0,162.58852335,-121.15885345000001
702.0,162.76607860000001,-121.2010508
703.0,162.76763065,-121.15858424999999
704.0,162.65593710000002,-121.15075935
705.0,162.85899605,-121.20761965
706.0,162.6946579,-121.16021235
707.0,162.70959614999998,-121.168383
708.0,162.8259307,-121.2067253
709.0,162.09639214999999,-121.3029325
710.0,162.7029207,-121.24734715
711.0,162.28348585,-121.21032545
712.0,161.71235275,-121.18211535
713.0,162.1629638,-121.31469910000001
714.0,161.93806465,-121.22560594999999
715.0,161.6608383,-121.24461645
716.0,162.14168345000002,-121.28829875
717.0,162.27941115,-121.28568295
718.0,162.33356195,-121.32607175
719.0,162.4892777,-121.3561766
720.0,162.32112005,-121.3062808
721.0,162.26452310000002,-121.2933355
722.0,162.4579155,-121.34863125
723.0,162.24222055,-121.29816205
724.0,162.20687685000001,-121.3142663
725.0,162.49186035,-121.3591256
726.0,162.2373113,-121.29237864999999
727.0,162.1518356,-121.26747205000001
728.0,162.28115595,-121.29673695
729.0,162.45059220000002,-121.34863820000001
730.0,162.43543345,-121.3347297
731.0,161.82202304999998,-121.32002095
732.0,162.2440823,-121.3746471
