Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
20.0,-7.9580291345,-4.707573785,3.1233843005,9.7594599485,-75.84615136,-7.9580291345,-4.707573785,3.1233843005,9.7594599485,-56.43649525,-68.57087577499999,619.5714285714286,264.0,779.8571428571429,264.7142857142857,5.0,2.0,0.0,0.0,-0.002923111244,0.002193219795165,0.0021366378535,0.005670829025,0.03573811328,0.032152852875,-0.018366660425,0.0514667668,0.0,0.0,0.0,0.0,0.0,0.0,71.33486476499999,-120.6064431,-149.39355690000002,158.57087575,146.43649525,-120.6064431,1
21.0,-7.990391249,-4.7088358665,3.053711539,9.7644596525,-73.759302515,-7.990391249,-4.7088358665,3.053711539,9.7644596525,-57.03630405,-69.084498475,615.75,263.375,776.25,263.625,5.0,3.0,0.0,0.0,0.0011343878175,0.0007351038035,0.0024398761554999,0.013115827535,0.031384975875,0.028114450455,-0.020072757565,0.04685456593,0.0,0.0,0.0,0.0,0.0,0.0,71.775720465,-120.51136245,-149.48863749999998,159.08449845,147.03630405,-120.51136245,1
22.0,-7.9886566205,-4.684937035,3.08293606,9.7607288345,-73.65783252,-7.9886566205,-4.684937035,3.08293606,9.7607288345,-56.65300565,-68.89768378,617.2857142857143,263.42857142857144,777.1428571428571,264.0,5.0,2.0,0.0,0.0,0.00039321990145,-0.0010647605717,-0.0008312049168,0.0020996443825,0.02934476195,0.035132040775,-0.02650971078,0.053054641495,0.0,1.0,0.0,0.0,0.0,0.0,71.58780319,-120.3894385,-149.61056150000002,158.89768379999998,146.65300565,-120.3894385,1
23.0,-7.9804413515,-4.6879205365,3.102461633,9.7616248635,-73.021134125,-7.9804413515,-4.6879205365,3.102461633,9.7616248635,-56.50344615,-68.75599862,619.5,264.5,780.0,265.25,6.0,2.0,0.0,0.0,0.00114525931525,-0.00136739933,-7.41349564e-05,0.0018025654625,0.030702101345,0.031160571775,-0.02610580576,0.0509454343199999,0.0,0.0,0.0,0.0,0.0,0.0,71.468721165,-120.43109355,-149.56890645,158.7559986,146.50344615,-120.43109355,1
24.0,-7.979851402,-4.685516712,3.110227836,9.762459438,-72.999430695,-7.979851402,-4.685516712,3.110227836,9.762459438,-56.42084288,-68.71013258,610.5714285714286,259.0,772.0,260.85714285714283,1.0,6.0,0.0,0.0,0.00025325372135,-0.00064788010275,-0.000486596298,0.0008542641472499,0.0277571741099999,0.03341295364,-0.02760733634,0.051477402245,0.0,0.0,0.0,0.0,0.0,0.0,71.42441195,-120.4120257,-149.5879743,158.7101326,146.4208429,-120.4120257,1
25.0,-7.971900289,-4.688906721,3.115974709,9.759425202,-74.37309781,-7.971900289,-4.688906721,3.115974709,9.759425202,-56.394321265,-68.650963485,617.25,266.375,773.75,266.625,8.0,0.0,0.0,0.0,0.00071982768205,-0.00127808711095,-0.00145133935875,0.0029915474,0.033277209385,0.031753866395,-0.025449515995,0.05266309291,0.0,0.0,0.0,0.0,0.0,0.0,71.380693025,-120.46316795,-149.53683205,158.6509635,146.39432125000002,-120.46316795,1
26.0,-7.9763454575,-4.711861926499999,3.088939752,9.765521377,-73.081572755,-7.9763454575,-4.711861926499999,3.088939752,9.765521377,-56.752560900000006,-68.830459475,611.8571428571429,264.7142857142857,769.4285714285714,264.2857142857143,6.0,1.0,0.0,0.0,-0.005651621414,-0.003101449843,0.00046023088405,0.0150937096099999,0.024277868695,0.03232490146,-0.0284782762499999,0.05019948148,0.0,0.0,0.0,0.0,0.0,0.0,71.560025615,-120.5716108,-149.42838915,158.8304595,146.7525609,-120.5716108,0
27.0,-7.968912384999999,-4.70787463,3.0887709855,9.7574697095,-73.034201015,-7.968912384999999,-4.70787463,3.0887709855,9.7574697095,-56.73172475,-68.813541305,619.7142857142857,265.85714285714283,778.0,265.2857142857143,5.0,2.0,0.0,0.0,-0.0040651115075,0.0057991119135,-0.000624409502585,0.007459348457,0.02935439839,0.040108755065,-0.02894982266,0.0578291855599999,0.0,0.0,0.0,0.0,0.0,0.0,71.54531814500001,-120.57374935,-149.42625065,158.8135413,146.73172475,-120.57374935,0
28.0,-7.973904944,-4.7078672925,3.0811823545,9.759195657,-74.44611524,-7.973904944,-4.7078672925,3.0811823545,9.759195657,-56.79542059,-68.87313899,622.5714285714286,267.0,781.2857142857143,266.0,5.0,2.0,0.0,0.0,0.0075437151209999,-0.0011495110675,0.0020759815340999,0.01169506024,0.0315439685499999,0.0335232223849999,-0.0280004899349999,0.05407857464,0.0,0.0,0.0,0.0,0.0,0.0,71.595532115,-120.55776395,-149.44223605000002,158.87313895,146.7954206,-120.55776395,0
29.0,-7.979281997499999,-4.686213792,3.1197976415,9.765390042,-72.932773225,-7.979281997499999,-4.686213792,3.1197976415,9.765390042,-56.34680753,-68.64508316,625.125,266.25,784.375,266.5,2.0,6.0,0.0,0.0,0.0012154777254999,-0.0036305493455,-0.0016451210177,0.0043338546385,0.021519691205,0.03649032031,-0.029670480525,0.05192792109,0.0,0.0,0.0,0.0,0.0,0.0,71.36878167500001,-120.42564625,-149.57435370000002,158.64508315,146.34680755,-120.42564625,0
30.0,-7.9712516385,-4.6871867685,3.1278749625,9.7618740835,-76.34629363,-7.9712516385,-4.6871867685,3.1278749625,9.7618740835,-56.283852015,-68.57523255000001,621.1428571428571,266.85714285714283,779.7142857142857,267.7142857142857,4.0,3.0,0.0,0.0,-0.0008353777045,0.001822189293,0.000316115847794,0.00240498022865,0.026861334815,0.0362378839699999,-0.02736031441,0.052776866865,0.0,0.0,0.0,0.0,0.0,0.0,71.311826185,-120.4560138,-149.5439862,158.57523255,146.283852,-120.4560138,0
31.0,-7.976270613,-4.686510234,3.115374487,9.761652615,-75.299112995,-7.976270613,-4.686510234,3.115374487,9.761652615,-56.385891445,-68.66536385500001,624.25,268.125,783.625,268.5,4.0,4.0,0.0,0.0,0.00045428581435,-0.00110802332305,0.0005038918302,0.001323120907,0.02726450033,0.0353134850399999,-0.028489342965,0.052940609805,0.0,0.0,0.0,0.0,0.0,0.0,71.38881961,-120.43664305,-149.56335695,158.66536385,146.38589145,-120.43664305,0
32.0,-7.975029077,-4.680679712,3.1276342865,9.7617607025,-75.81079691,-7.975029077,-4.680679712,3.1276342865,9.7617607025,-56.249137245,-68.585961405,621.7142857142857,267.7142857142857,780.8571428571429,269.0,1.0,6.0,0.0,0.0,0.00014300927905,-0.0011245366117,-0.0005232337417,0.0015417063585999,0.025825334315,0.03788052736,-0.0279343906049999,0.05376366199,0.0,0.0,0.0,0.0,0.0,0.0,71.31309100499999,-120.40939535,-149.59060465,158.58596139999997,146.2491372,-120.40939535,0
33.0,-7.977014654,-4.683699902000001,3.1240373545,9.763678832499998,-74.338329665,-7.977014654,-4.683699902000001,3.1240373545,9.763678832499998,-56.2966356,-68.613202145,622.375,269.625,781.875,270.25,3.0,5.0,0.0,0.0,-0.0011654104965,0.001225003264,0.00026975324782,0.0017434354119999,0.024541881945,0.03625748361,-0.02765735297,0.0517994974,0.0,0.0,0.0,0.0,0.0,0.0,71.339178815,-120.4193041,-149.58069590000002,158.61320215,146.29663555,-120.4193041,0
34.0,-7.980357702,-4.686140415,3.112636064,9.763939999,-72.54923199000001,-7.980357702,-4.686140415,3.112636064,9.763939999,-56.4070255,-68.69236832,619.4285714285714,271.7142857142857,780.2857142857143,271.57142857142856,1.0,6.0,0.0,0.0,0.0005047776024,-0.001226404234,0.0001305873522,0.001332636796,0.02382285213,0.03582580431,-0.02937388911,0.0520945477,0.0,0.0,0.0,0.0,0.0,0.0,71.4102992,-120.4218529,-149.5781471,158.6923683,146.4070255,-120.4218529,0
35.0,-7.974731167,-4.6785048225,3.1324712865,9.76202768,-76.26859053999999,-7.974731167,-4.6785048225,3.1324712865,9.76202768,-56.19593366,-68.55512066,620.875,271.0,781.75,271.25,1.0,7.0,0.0,0.0,0.0019982668464999,-0.00226830069525,-0.00065191357405,0.0032834354584999,0.025115098255,0.03804606949,-0.02864388717,0.053877766005,0.0,0.0,0.0,0.0,0.0,0.0,71.28364207999999,-120.39870605,-149.6012939,158.55512065,146.19593365,-120.39870605,0
36.0,-7.9701172325,-4.676569142,3.147607458,9.7621977135,-74.289550295,-7.9701172325,-4.676569142,3.147607458,9.7621977135,-56.057117215000005,-68.44964222499999,627.8571428571429,272.0,789.1428571428571,273.0,0.0,7.0,0.0,0.0,0.000356043447,-0.000293260123,-0.000105747055,0.002524028672,0.0249961762049999,0.03785611523,-0.028621025695,0.05367951376,0.0,0.0,0.0,0.0,0.0,0.0,71.19016596,-120.40282965,-149.59717035,158.4496422,146.0571172,-120.40282965,0
37.0,-7.9726854215,-4.6778312235,3.141907546,9.763066369,-74.77200109500001,-7.9726854215,-4.6778312235,3.141907546,9.763066369,-56.112393999999995,-68.491407215,629.3333333333334,274.3333333333333,789.8333333333334,275.8333333333333,6.0,0.0,0.0,0.0,-0.0022923068905,0.0012283303751,-0.0003700870969,0.002635024583,0.02248025689,0.04088123531,-0.02780866687,0.054322599415,0.0,0.0,0.0,0.0,0.0,0.0,71.22723406,-120.401519,-149.598481,158.4914072,146.112394,-120.401519,0
38.0,-7.9704078045,-4.680035463499999,3.1393980585,9.7614565505,-73.994055865,-7.9704078045,-4.680035463499999,3.1393980585,9.7614565505,-56.146028605,-68.501438465,629.1428571428571,273.57142857142856,789.7142857142857,275.2857142857143,5.0,2.0,0.0,0.0,0.001260760128535,-0.0019663462015,0.00028513981815,0.0025525404559999,0.0249092304,0.04073860911,-0.0268639087349999,0.054862732435,0.0,0.0,0.0,0.0,0.0,0.0,71.23957354000001,-120.42044205,-149.57955795,158.50143845,146.14602860000002,-120.42044205,0
39.0,-7.970975741,-4.671481193,3.155351648,9.7629624305,-77.32213124,-7.970975741,-4.671481193,3.155351648,9.7629624305,-55.96294348,-68.40360973,628.875,272.25,789.625,274.375,1.0,7.0,0.0,0.0,3.549722754e-05,-0.0007522602648,0.0001779834126,0.00086879911125,0.0224419175,0.042841663405,-0.0252965396449999,0.0546131175,0.0,0.0,0.0,0.0,0.0,0.0,71.14367633,-120.37292145,-149.62707855000002,158.4036097,145.9629435,-120.37292145,0
40.0,-7.970924376999999,-4.6715619075,3.1517150925,9.761784414,-76.84825289,-7.970924376999999,-4.6715619075,3.1517150925,9.761784414,-55.99404338,-68.42608615,628.4285714285714,273.42857142857144,790.2857142857143,275.42857142857144,0.0,7.0,0.0,0.0,-0.0018074378625,0.0009372172474,-0.00034806672565,0.0020777903655,0.022225713835,0.04712277687,-0.02313140741,0.05703537116,0.0,0.0,0.0,0.0,0.0,0.0,71.163868905,-120.37351425,-149.62648575,158.42608615,145.99404335,-120.37351425,0
41.0,-7.9746313745,-4.6829000945,3.1250763705,9.7616808905,-74.383679115,-7.9746313745,-4.6829000945,3.1250763705,9.7616808905,-56.283321685,-68.60091835,627.625,273.75,789.625,275.5,0.0,8.0,0.0,0.0,-0.001544098591435,0.0007713611849999,-0.0002705785092,0.002724781012,0.023603787915,0.04419837508,-0.02434281578,0.05570948674,0.0,0.0,0.0,0.0,0.0,0.0,71.328779855,-120.42250525,-149.57749475,158.60091835,146.2833217,-120.42250525,0
42.0,-7.972394849,-4.677301442999999,3.1379716130000004,9.761309026,-75.73445698500001,-7.972394849,-4.677301442999999,3.1379716130000004,9.761309026,-56.14262151,-68.515180415,627.2857142857143,273.85714285714283,788.7142857142857,275.7142857142857,0.0,7.0,0.0,0.0,0.0011943821387,-0.0016855424285,2.972409760000004e-05,0.002148850495,0.02350868467,0.045945471525,-0.0231240439299999,0.0566021212299999,0.0,0.0,0.0,0.0,0.0,0.0,71.248126075,-120.3995979,-149.6004021,158.51518040000002,146.1426215,-120.3995979,0
43.0,-7.968332708,-4.677379222,3.1473330285,9.761041079,-74.93091344999999,-7.968332708,-4.677379222,3.1473330285,9.761041079,-56.06403573,-68.44696316,628.125,274.25,789.5,276.125,0.0,8.0,0.0,0.0,-0.00067636463575,7.087168899999998e-05,-0.0001190174736299,0.0019078589375,0.024496548825,0.04609180383,-0.02119904022,0.056381459285,0.0,0.0,0.0,0.0,0.0,0.0,71.189554265,-120.41276405,-149.58723595,158.44696315,146.06403575000002,-120.41276405,0
44.0,-7.9740106065,-4.6817025845,3.1300395785,9.7621890535,-75.03325825499999,-7.9740106065,-4.6817025845,3.1300395785,9.7621890535,-56.23455405,-68.56849478500001,629.0,275.0,790.8571428571429,276.85714285714283,0.0,7.0,0.0,0.0,-0.0010418829814999,0.000755867042,0.0004037387256999,0.003691974482,0.02473514962,0.045027768225,-0.01863556355,0.054653522065,0.0,0.0,0.0,0.0,0.0,0.0,71.299038385,-120.4180551,-149.5819449,158.56849475,146.23455405,-120.4180551,0
45.0,-7.9735938265,-4.6760804525,3.1393936565,9.762157767,-74.09982543,-7.9735938265,-4.6760804525,3.1393936565,9.762157767,-56.12366297,-68.509259735,629.1428571428571,275.57142857142856,790.8571428571429,277.14285714285717,4.0,3.0,0.0,0.0,-3.882214499999995e-05,-0.00104108645895,-0.00064775495055,0.002521041726,0.02302870852,0.04644123516,-0.02097127111,0.0559269801099999,0.0,0.0,0.0,0.0,0.0,0.0,71.24100677999999,-120.3893117,-149.6106883,158.50925975,146.12366300000002,-120.3893117,0
46.0,-7.9704400905,-4.678626628,3.140202269,9.7610628255,-74.89084969,-7.9704400905,-4.678626628,3.140202269,9.7610628255,-56.131268085,-68.49649898499999,626.0,275.0,787.75,276.75,2.0,6.0,0.0,0.0,-0.0011367731720999,0.0010530201539999,3.609343830000001e-05,0.0028164260579999,0.0257101785599999,0.0449862357999999,-0.01972278738,0.0554443925199999,0.0,0.0,0.0,0.0,0.0,0.0,71.23380743,-120.41281745,-149.58718255,158.49649895,146.13126805000002,-120.41281745,0
