Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
99,294.2,291.6,414.2,279.0,1,14,0,0
100,295.06666666666666,292.6666666666667,414.8666666666667,279.26666666666665,0,14,1,0
101,293.53333333333336,292.8,413.4,279.93333333333334,0,14,1,0
102,297.53333333333336,292.8666666666667,416.53333333333336,280.53333333333336,3,4,8,0
103,296.73333333333335,292.93333333333334,416.2,280.73333333333335,5,7,3,0
104,294.6,292.6,413.93333333333334,280.1333333333333,2,8,5,0
105,295.8,293.1333333333333,414.73333333333335,280.46666666666664,1,6,8,0
106,294.06666666666666,292.8,413.53333333333336,280.6666666666667,1,13,1,0
107,270.6923076923077,280.0769230769231,396.9230769230769,269.0769230769231,0,13,0,0
108,259.0,266.0,389.0,259.0,0,1,0,0
109,,,,,0,0,0,0
110,,,,,0,0,0,0
111,,,,,0,0,0,0
112,,,,,0,0,0,0
113,,,,,0,0,0,0
114,250.0,260.0,391.0,247.0,0,0,1,0
115,,,,,0,0,0,0
116,,,,,0,0,0,0
117,,,,,0,0,0,0
118,,,,,0,0,0,0
119,,,,,0,0,0,0
120,,,,,0,0,0,0
121,,,,,0,0,0,0
122,,,,,0,0,0,0
123,277.3076923076923,226.23076923076923,371.0,225.0,2,11,0,0
124,347.8,232.73333333333332,440.6666666666667,237.0,7,8,0,0
125,358.57142857142856,238.92857142857142,454.85714285714283,242.14285714285714,13,1,0,0
126,355.26666666666665,239.2,453.6666666666667,241.86666666666667,14,1,0,0
127,350.8,240.73333333333332,450.8,243.46666666666667,12,0,3,0
128,331.06666666666666,252.13333333333333,438.26666666666665,247.73333333333332,3,12,0,0
129,325.7142857142857,255.57142857142858,434.42857142857144,248.92857142857142,0,14,0,0
130,324.0,254.86666666666667,432.4,248.53333333333333,0,15,0,0
131,324.4,256.2,432.53333333333336,250.2,0,15,0,0
132,325.06666666666666,252.8,432.3333333333333,248.0,0,15,0,0
133,325.3076923076923,251.07692307692307,431.38461538461536,246.23076923076923,0,13,0,0
134,335.5,242.5,435.5,248.0,0,1,1,0
135,345.0,223.0,448.5,243.5,1,0,1,0
136,300.5,223.5,384.0,239.0,0,1,1,0
137,265.38461538461536,242.15384615384616,341.53846153846155,233.46153846153845,3,10,0,0
