Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
933.0,-0.06653201595,-0.042190415425,0.21212524955,0.22628870915
934.0,-0.06369516164,-0.037094298005,0.21488426475,0.22718007865
935.0,-0.05873837959,-0.03541890637,0.21637675695,0.2269886273
936.0,-0.059321183915,-0.035831978274999995,0.21728999155,0.22807540440000001
937.0,-0.057835665445000004,-0.04092920307,0.21743445245,0.22870118904999998
938.0,-0.063560273685,-0.04437637733,0.2139386727,0.22756052585
939.0,-0.06502468056499999,-0.034990113875,0.2151528313,0.2274887846
940.0,-0.062594329395,-0.040529073155,0.2131478106,0.2258398565
941.0,-0.060322258625,-0.04271274153,0.21512298285,0.22749446239999999
942.0,-0.065527756625,-0.0422421437,0.21323573755,0.2270588653
943.0,-0.064769985685,-0.04797121653,0.2120192254,0.22683605245
944.0,-0.061814678585,-0.045213994095,0.21273025304999998,0.22612709555
945.0,-0.05902717449,-0.045411125755000004,0.21441217515,0.22698251484999998
946.0,-0.05411854413,-0.040877222415,0.21669848505,0.22706675355
947.0,-0.054493145755,-0.038343778605,0.21695512675,0.22698739839999998
948.0,-0.058583562955,-0.04100984447,0.21514611155000002,0.22672954455
949.0,-0.06208577656,-0.041291269565,0.2143729502,0.22698249375000001
950.0,-0.063397227805,-0.04074312257,0.2147660695,0.22761674165
951.0,-0.06120236591,-0.04116577469,0.2137338966,0.2261029172
952.0,-0.058280867895,-0.036122499285,0.2162388161,0.22686574534999998
953.0,-0.05683693395,-0.037111362735,0.21636359924999998,0.22677534995
954.0,-0.057791814515,-0.03839027155,0.21536291065,0.22627035665
955.0,-0.05956867485,-0.03869292712,0.2154752036,0.22689703719999998
956.0,-0.06155238458000001,-0.037593319095,0.2154536904,0.22734915805
957.0,-0.10865952441,-0.027218948465,0.2044616589,0.2389250139
958.0,-0.04945914931,-0.071860925145,0.19907424764999998,0.23088996225
959.0,-0.09877534382,-0.095533746195,0.217046339,0.26736552655
960.0,-0.05268164726999999,-0.028997712980000003,0.2110079193,0.22479457349999998
961.0,-0.07402907478,-0.03993803452,0.20876701295,0.2274413463
962.0,-0.05969851953,-0.050463228715,0.2121218264,0.22612814025
963.0,-0.06793635625,-0.04769388681,0.21140761755,0.22789861205
964.0,-0.08023605273000001,-0.04858638086,0.20677859445,0.22852813095000002
965.0,-0.06956518869,-0.051648653605,0.2093387816,0.2266033502
966.0,-0.065478222685,-0.058018166575,0.20926600335,0.2268273581
967.0,-0.0624564928,-0.05661953248,0.21032620489999998,0.2266052882
968.0,-0.066043237235,-0.050306247474999996,0.2103419123,0.226145566
