Time (s),Event,PositionX,PositionY
741.0,61,698.8511782786885,295.0177382172131
745.0,17,745.3501838235294,329.89430147058823
746.0,65,759.9221754807693,527.1574519230769
747.0,29,769.0573814655172,535.4086745689655
749.0,8,851.46875,375.06640625
750.0,26,851.46875,375.06640625
751.0,31,851.46875,375.06640625
752.0,32,851.46875,374.8359375
753.0,17,851.46875,374.8359375
756.0,85,613.8142463235295,239.2578125
757.0,6,587.6015625,202.00520833333334
758.0,30,744.3643229166667,343.58958333333334
759.0,24,844.7591145833334,456.056640625
760.0,13,862.44921875,518.61328125
761.0,19,862.44921875,518.61328125
763.0,6,862.44921875,518.61328125
764.0,29,862.44921875,518.61328125
765.0,36,899.9491102430555,387.9925130208333
766.0,107,1171.612551109813,118.13164427570094
767.0,45,876.8533854166667,189.23611111111111
768.0,16,810.6171875,415.0546875
770.0,65,139.8299278846154,655.0654447115385
771.0,39,233.78735977564102,680.4622395833334
772.0,35,668.1988839285714,745.4245535714285
773.0,100,1152.6394140625,854.269609375
774.0,33,738.4268465909091,575.5887784090909
775.0,86,112.69358648255815,102.74091569767442
776.0,44,545.5393288352273,417.51633522727275
777.0,1,,
778.0,1,,
799.0,1,,
820.0,1,,
850.0,1,,
875.0,1,,
886.0,1,,
913.0,60,886.9589192708333,502.8197916666667
914.0,1,1004.0078125,463.16796875
915.0,2,1004.0078125,463.16796875
917.0,4,1004.0078125,463.345703125
921.0,22,738.5671164772727,431.35422585227275
922.0,21,519.9609375,345.140625
924.0,32,519.9609375,345.140625
925.0,19,519.9609375,345.140625
926.0,35,519.9609375,345.140625
927.0,24,519.9609375,345.140625
928.0,2,519.9609375,345.7265625
929.0,13,615.2001201923077,295.55408653846155
930.0,49,760.8168048469388,227.37492028061226
931.0,6,761.0859375,227.755859375
932.0,2,761.0859375,228.7109375
934.0,70,1034.405859375,255.32014508928572
935.0,38,1259.366365131579,167.24465460526315
960.0,1,,
961.0,1,,
992.0,1,,
1003.0,1,,
1017.0,1,,
1018.0,19,1211.2374131944443,420.6145833333333
1019.0,93,1187.8172883064517,800.6359206989247
1020.0,53,1370.5693543632076,690.8131633254717
1021.0,67,1353.2792094216418,698.0854127798508
1022.0,50,1180.6028125,747.748515625
1023.0,69,1170.0659533514493,838.1050724637681
1024.0,8,1192.02587890625,860.232421875
1026.0,49,726.5997289540817,523.9512117346939
1027.0,78,62.78871193910256,54.03150040064103
1029.0,1,39.05859375,38.953125
1030.0,81,361.96754436728395,323.53901427469134
1031.0,40,519.53623046875,446.3634765625
1032.0,78,188.6680689102564,865.1021133814103
1033.0,43,433.6925872093023,612.9237827034884
1034.0,77,783.9156351461039,231.5936992694805
1035.0,104,1273.3568584735576,91.87488731971153
1036.0,47,597.704454787234,756.7320478723404
1037.0,90,1183.0587673611112,865.0190538194445
1038.0,47,388.9633477393617,279.52086103723406
1039.0,50,116.840625,66.993203125
1040.0,29,401.2342403017241,203.08795797413794
1044.0,1,,
1045.0,1,,
1057.0,22,576.4144176136364,243.32475142045453
1112.0,24,596.2443033854166,56.813802083333336
1113.0,84,851.0892392113095,46.88760230654762
1114.0,32,986.6968994140625,49.9000244140625
1115.0,19,983.9954769736842,50.62828947368421
1116.0,1,980.9921875,51.01171875
1117.0,1,980.9921875,51.01171875
1118.0,1,980.9921875,51.01171875
1119.0,83,1019.5791603915662,337.60965737951807
1120.0,28,1114.805385044643,316.63462611607144
1121.0,1,,
1122.0,2,1161.1640625,296.88671875
1123.0,41,934.14697265625,109.665234375
1124.0,93,910.8729418682796,62.265582997311824
1125.0,90,859.1256510416666,0.0
1126.0,55,972.4777698863636,31.323295454545455
1127.0,6,983.2682291666666,59.129557291666664
1128.0,3,983.0286458333334,58.5703125
1129.0,83,1066.1983716114457,119.68575865963855
1130.0,46,1128.2265625,238.97265625
1131.0,71,1052.8594300176057,75.34655589788733
1132.0,75,1055.2386979166668,41.42359375
1133.0,47,878.9507147606383,180.28814827127658
1134.0,104,961.7513146033654,183.62267127403845
1135.0,43,1197.8670058139535,308.3673691860465
1136.0,11,1222.8984375,333.87109375
1137.0,21,1222.8984375,333.87109375
1138.0,47,1111.578873005319,105.36170212765957
1139.0,42,991.1752232142857,38.825892857142854
1140.0,1,986.1953125,61.41796875
1141.0,40,1111.810546875,149.245703125
1142.0,67,1039.592234141791,42.002273787313435
1143.0,18,1097.16796875,175.86979166666666
1144.0,32,1239.109375,328.67578125
1145.0,18,1147.2645399305557,350.85655381944446
1211.0,1,,
1279.0,1,,
1289.0,1,,
1290.0,2,,
1291.0,7,1025.337611607143,362.1796875
1292.0,1,1025.88671875,361.7734375
1293.0,5,1019.873046875,362.0966796875
1294.0,13,965.7154447115385,370.18028846153845
1296.0,1,,
1297.0,1,,
1311.0,34,918.2930836397059,362.1353400735294
1312.0,46,916.7692764945652,274.70278532608694
1313.0,49,964.6682079081633,234.80389030612244
1342.0,1,,
1347.0,1,,
1348.0,1,,
1349.0,55,1178.5155539772727,182.06576704545455
1350.0,57,1380.844572368421,81.94250274122807
1351.0,2,,
1352.0,1,,
1353.0,23,1228.4089673913043,134.65013586956522
