,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
20,20.0,-3.067158375,-2.2024700255000003,9.249201609499998,9.990298948,-41.81016563,-3.067024833,-2.202555873,9.2492254565,9.9902990055,-13.39425944,-18.346385,265.6666666666667,245.33333333333337,362.6666666666667,244.0,0.0,1.0,0.0,0.0,0.00080743650485,0.0001336885615,0.0013241534255,0.006336027935,-0.0579340774549999,-0.040732919075,0.17004770845,0.18425346415,0.0,0.0,0.0,22.208129415,-125.68140855,-144.31859145,108.346385,103.39425945,-125.68140855,0
21,21.0,-3.077188339,-2.195611741,9.2498502485,9.9924739765,-58.50382751,-3.0772837265,-2.195473431,9.249974249,9.9925876985,-13.353225975,-18.40120306,279.6666666666667,232.33333333333337,371.0,242.66666666666663,0.0,1.0,1.0,0.0,2.1220407500000015e-05,0.001453597907,0.0014833064825,0.0038502730465,-0.043511576245,-0.04359864832,0.17698461565,0.18740292,0.0,0.0,0.0,22.2289201,-125.50839105,-144.49160895,108.40120305,103.353226,-125.50839105,0
22,22.0,-3.0535180950000003,-2.1923542835000003,9.258463677,9.9924989315,-37.737085305,-3.052306686,-2.191343186,9.258787995,9.9922102915,-13.32376667,-18.25564664,302.38461538461536,224.46153846153845,392.38461538461536,232.6153846153846,1.0,1.0,1.0,0.0,0.0065560448955,-0.008211236663,-0.0051523149285,0.0123450628015,-0.04434751158,-0.035100398405,0.17217575995,0.1814545914999999,0.0,0.0,0.0,22.100682365,-125.6770672,-144.3229328,108.25564665,103.32376665,-125.6770672,0
23,23.0,-2.9373039505,-2.1343592675,9.307688027,9.9908899555,-34.751014525,-2.9392879895,-2.1356517554999996,9.307549714,9.991626715,-12.912695825,-17.511024045,311.2857142857143,207.57142857142856,410.2857142857143,230.8571428571429,0.0,1.0,1.0,0.0,-0.002863694015,0.00067056486,-0.001782514255,0.024430836725,-0.046103169283,-0.0468966439349999,0.1813651976,0.1971681921,0.0,0.0,0.0,21.306577525,-126.0064272,-143.99357279999998,107.51102405,102.91269585,-126.0064272,0
24,24.0,-2.9519839185,-2.1419234815,9.304258778,9.993585082,-42.90879959,-2.9507725095,-2.1410983884999997,9.304292164,9.9930804235,-12.966353475,-17.6044984,286.1,210.1,384.3,226.6,0.0,1.0,1.0,0.0,0.005110935138,0.00138038750905,0.006945439332,0.008778955699,-0.038846546115,-0.0349655464499999,0.17714233015,0.18484442125,0.0,0.0,0.0,21.407366095,-125.96531025,-144.03468974999998,107.60449835,102.9663535,-125.96531025,0
25,25.0,-2.9308319765000004,-2.1054667755,9.3214094685,9.9955713175,-47.431023284999995,-2.9302215035,-2.105361849,9.3215573185,9.995508131,-12.728088725,-17.45515501,286.46666666666664,212.86666666666667,382.4,233.26666666666668,0.0,1.0,1.0,0.0,-0.0005421814132,0.0030281521655,0.0029252331754999,0.009399639904,-0.024643577695,-0.035286010495,0.18455037205,0.1896022426999999,0.0,0.0,0.0,21.164293195,-125.69134305,-144.30865695,107.455155,102.7280887,-125.69134305,0
26,26.0,-2.96915825,-2.1159640465000003,9.306543297,9.9952642955,-45.543058724999995,-2.969182097,-2.1163694399999997,9.3064479085,9.9952675225,-12.80848245,-17.69468641,283.0,212.26666666666668,378.0,230.66666666666663,0.0,1.0,1.0,0.0,-0.0048955480165,-0.0002832924495,-0.002554937063,0.006893349658,-0.0478670763449999,-0.037975746005,0.1779427223,0.1881775678,0.0,0.0,0.0,21.393138175,-125.4734672,-144.52653275,107.6946864,102.80848245,-125.4734672,0
27,27.0,-2.960516244,-2.1482666740000003,9.2981874265,9.9917991305,-44.904460435,-2.9599677705,-2.1486720664999996,9.2982971245,9.991826411,-13.008629605,-17.662483635,283.38461538461536,226.3846153846154,377.9230769230769,232.23076923076923,1.0,0.0,1.0,0.0,-0.00086473158574,-0.0034345229625,-3.7135723305e-05,0.0036611649285,-0.061503556435,-0.037687872685,0.17173775015,0.18682543615,0.0,0.0,0.0,21.47471887,-125.9624951,-144.0375049,107.66248365,103.0086296,-125.9624951,0
28,28.0,-2.999281303,-2.1308109645,9.291257587,9.993182226,-50.683112765,-3.0004116335,-2.130310186,9.290952346,9.993129942,-12.97870609,-17.83917178,283.2,213.8,374.1,229.3,0.0,1.0,1.0,0.0,0.002388356851,0.0024753605195,0.0012636752548,0.0039157559739999,-0.078779141195,-0.032821835935,0.1687705357,0.1892022895,0.0,0.0,0.0,21.59550474,-125.6090452,-144.3909548,107.8391718,102.9787061,-125.6090452,0
29,29.0,-3.024429949,-2.124315153,9.286998538,9.9954150305,-46.81083662,-3.023852861,-2.1244725405,9.2873228555,9.9955741855,-12.883925965,-18.039697475,283.1333333333333,214.6,375.26666666666665,232.06666666666663,0.0,1.0,1.0,0.0,-0.00279897174415,-0.002339549926,0.0002143261215,0.005289245466,-0.076852563485,-0.0363432201599999,0.1696045534,0.1899510020499999,0.0,0.0,0.0,21.701751175,-125.0811497,-144.9188503,108.0396975,102.88392595,-125.0811497,0
