Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
115.0,-3.0206430810000002,-2.1826391865,9.279677606,10.00003539
116.0,-3.020519082,-2.183402278,9.280922381,10.00131559
117.0,-3.0137657205,-2.1834690485,9.283302317,10.001503355
118.0,-3.023061113,-2.178723574,9.2821480975,10.00220027
119.0,-3.013908799,-2.1809699240000002,9.2841083025,10.00174757
120.0,-3.012792765,-2.1792863535,9.284661525,10.001561554999999
121.0,-3.020251983,-2.179190967,9.282095636000001,10.001405065
122.0,-3.0110376535,-2.1856390895,9.283679061499999,10.001509055
123.0,-3.007398673,-2.1945624925000002,9.2834453845,10.00214693
124.0,-3.1263886285,-2.2375627225,9.236949259500001,10.005342015
125.0,-3.3965041769999997,-2.502799248,9.054589376,9.993935905
126.0,-3.5087598285,-2.6008708709999997,8.992645462999999,9.9974091945
127.0,-3.492420089,-2.5174648685000003,9.024289963,9.9986283655
128.0,-3.4809116805,-2.5204933880000002,9.0293835855,9.999970722
129.0,-3.483711272,-2.5028564365,9.0335471885,10.0002762925
130.0,-3.4851277605,-2.50044793,9.033423194000001,10.0000555825
131.0,-3.4744015565,-2.5072060585,9.035912793000001,10.0002664195
132.0,-3.4833821890000003,-2.4937422639999998,9.036241854,10.0003185385
133.0,-3.4771582245,-2.502012267,9.037911132,10.001728855
134.0,-3.5366078874999998,-2.5255727555,9.0144508105,10.0076106265
135.0,-3.626571715,-2.3494034074999997,8.9837506665,9.970703658
136.0,-3.598375464,-2.1428343675,9.047759736,9.9711402945
137.0,-3.3954072505,-2.16247922,9.249201785,10.08727395
138.0,-3.459855143,-2.330731509,9.017116826999999,9.939067924
139.0,-3.729479447,-2.7638531029999998,8.906497157499999,10.047679505000001
140.0,-4.2086705845,-3.0488458475,8.497550023999999,9.9662699165
141.0,-5.3283578894999994,-3.1114081805,7.862877938,10.032572592000001
142.0,-5.75921881,-3.0022717005,7.644251994999999,10.0583938025
143.0,-4.337964391,-3.1823328369999997,8.297291982499999,9.889089323
144.0,-5.3630261105,-1.66852488685,7.6382379049999996,9.834632678999998
145.0,0.40950387615,1.7288282444999998,9.803817179,9.9687550395
146.0,0.9972803972000001,1.9692165904999999,9.723787911999999,9.972115738
147.0,1.171608798,1.7112580495,9.789261222499999,10.0075027075
148.0,-0.20750861054999997,1.037671815,9.692038497999999,9.7872592525
149.0,-2.6785584605,-0.85894131895,9.462753142,9.983531186
150.0,-5.8777700920000004,-4.757686267,6.376917993499999,9.937715727499999
151.0,-4.772559704,-3.590758846,8.0242242215,10.051135368499999
152.0,-4.3614819655,-2.2959583544999997,8.7028373005,10.0030549845
153.0,-4.461790417,-2.3886645165,8.619951197999999,9.997944431
154.0,-4.3850853225,-2.5439728385,8.612024575,9.993576036
155.0,-4.303525154500001,-2.5532682170000003,8.65406135,9.996620496
156.0,-4.307130806,-2.554689487,8.650522526500001,9.995470251
157.0,-4.3194070395,-2.541902914,8.645405038,9.993078714500001
158.0,-4.310937574,-2.557156702,8.6499262985,9.997222984
159.0,-4.314179863,-2.5472302355,8.64995975,9.996116646499999
160.0,-4.320322749500001,-2.5474782395,8.6472412465,9.9964815235
161.0,-4.311060726999999,-2.5551616115,8.6506417585,9.997385403
162.0,-4.319693199,-2.5386263600000003,8.648452648500001,9.995005849
163.0,-4.3075934305,-2.5566782994999997,8.6499168295,9.995653352
164.0,-4.2842666645000005,-2.553110878,8.662522118,9.995686432500001
165.0,-4.2033120010000005,-2.4380651965,8.7393560445,9.9994819225
166.0,-4.1107632259999995,-2.3530328715,8.802978845,9.996416262
167.0,-4.1507445060000006,-2.434640812,8.758051778999999,9.993010798499999
168.0,-4.18956219,-2.4887153985,8.730685289,9.9985516085
169.0,-4.184439927,-2.497085558,8.729926966,9.997831716
170.0,-4.1853794585,-2.5022984265000003,8.728381715000001,9.998177538
171.0,-4.184196668,-2.49904098,8.730427711499999,9.9986538345
172.0,-4.185703785,-2.5006530104999998,8.729707579500001,9.9990589865
173.0,-4.193458740500001,-2.4847473235,8.730213112000001,9.998785217
174.0,-4.194503275000001,-2.4765393209999997,8.7310048135,9.9978776705
175.0,-4.193391935,-2.4807077079999997,8.730852222,9.998311516000001
176.0,-4.197541334,-2.476181622,8.730232178,9.9983891635
177.0,-4.1982328875,-2.475132371,8.73024651,9.9984322765
178.0,-4.1971359454999995,-2.48217189,8.730537445,9.9999709185
179.0,-4.1995556245,-2.4742725195,8.731563205499999,9.999924974999999
180.0,-4.196568377,-2.4782801235000003,8.729879263499999,9.9981930605
181.0,-4.197349998,-2.4813949675,8.729324572,9.9988095625
182.0,-4.1982328875,-2.4754137615,8.7302512685,9.998505941000001
183.0,-4.196983272,-2.4807554014999997,8.729421405,9.998582869
184.0,-4.197307641,-2.4814707995000003,8.7295549685,9.999012138000001
185.0,-4.198328269,-2.4788762885,8.729593093,9.9988295075
186.0,-4.1957718985,-2.4880429245,8.729306941499999,9.999783385
187.0,-4.198166119,-2.4815757245,8.72831015,9.998310698000001
188.0,-4.1980373195,-2.4850477905,8.728329252,9.9991374835
189.0,-4.1963632925,-2.4843943934999997,8.73036574,10.0000488505
190.0,-4.197813188,-2.4817044965,8.730527897,10.000130742
191.0,-4.1973362485,-2.4904752785,8.728615395999999,10.000442360000001
192.0,-4.199844918,-2.4797872290000003,8.729326024,9.9994589255
193.0,-4.196162987499999,-2.4885293954999996,8.729044629,9.9998402935
194.0,-4.1966923949999995,-2.483884076,8.7299984935,9.9997398695
195.0,-4.2000881515,-2.4798063065,8.723206984,9.994224935999998
196.0,-4.195824365,-2.487399066,8.713654043,9.985983566000002
197.0,-4.1993012175,-2.480068619,8.7083887355,9.981027499
198.0,-4.198356886,-2.482410356,8.706213910999999,9.979315234
199.0,-4.1979944190000005,-2.4835597619999996,8.7072154555,9.980322916999999
200.0,-4.200560318,-2.4791338325,8.7065906755,9.979756173
201.0,-4.1962965305,-2.4904705089999997,8.707458694,9.981543244000001
202.0,-4.197722568,-2.4811035615000003,8.7133965015,9.9849902305
203.0,-4.1990579815,-2.482911135,8.717574414000001,9.989647013999999
204.0,-4.195042193,-2.491281294,8.720312012,9.992433557
205.0,-4.198552425000001,-2.4814994155,8.725415177,9.9959270635
206.0,-4.196048533000001,-2.484580397,8.727079659000001,9.997094516499999
207.0,-4.1970257360000005,-2.484935254,8.7286418805,9.998956468
208.0,-4.197708247,-2.4799541554999998,8.732230553,10.001139255
209.0,-4.1953903605,-2.4873132184999998,8.730794971000002,10.000742240000001
210.0,-4.1935828005,-2.482057426,8.7333942485,10.000947038500001
211.0,-4.1972122535,-2.479138601,8.7344435145,10.002660765
212.0,-4.194086115,-2.487211613,8.732620716,10.00176207
213.0,-4.1947798684999995,-2.485395951,8.733399015,10.002283049999999
214.0,-4.197093021500001,-2.478199045,8.7344864185,10.002415375
215.0,-4.1950851255,-2.4874992220000003,8.732254378,10.001933135
216.0,-4.1956240625,-2.478108428,8.734572288999999,10.001852974999998
217.0,-4.1770665055,-2.459193299,8.747840547,10.001054896500001
218.0,-4.203030803000001,-2.4840939265,8.730585115499998,10.002965405000001
219.0,-4.20830092,-2.475466224,8.729521580499998,10.002113925
220.0,-4.2092166365,-2.4769017895000003,8.729540614,10.002872175
221.0,-4.205615799,-2.4840176175,8.730098662,10.003609805
222.0,-4.21045666,-2.475127602,8.729116162499999,10.002583245
223.0,-4.2081196925,-2.4839937705,8.7299078815,10.00448984
224.0,-4.2084869304999994,-2.4785328975,8.729206767,10.002677245000001
225.0,-4.2106822479999995,-2.476813271,8.7286545545,10.002694915
226.0,-4.20878254,-2.4972095605,8.7283292255,10.006703715
227.0,-4.283641772999999,-2.5147559685000003,8.6842035545,10.0047299185
228.0,-4.207889569500001,-2.5211090025,8.7137260175,9.999740232499999
229.0,-4.207971747,-2.5312339155,8.715905148000001,10.004059224999999
230.0,-4.2103660115,-2.5168830115,8.716153156499999,10.00166372
231.0,-4.209159404999999,-2.5272515165,8.7154425455,10.003149969999999
232.0,-4.2099320334999994,-2.518099188,8.715308987,10.00104833
233.0,-4.2092486065,-2.5221968265,8.7164981255,10.00283651
234.0,-4.206622100000001,-2.5300988020000004,8.713386931,10.00101374
235.0,-4.216556622000001,-2.5197255270000003,8.713611124,10.002769465
236.0,-4.217534283,-2.5334039629999996,8.712099239,10.005324089999998
237.0,-4.125595831,-2.5531299384999997,8.742980621000001,9.999008085
238.0,-3.9413901475,-2.5217048555000003,8.843394139,10.005214056
239.0,-3.9389864135,-2.4430205139999996,8.8641264275,10.002916528
240.0,-3.9922231884999997,-2.4382353925,8.8436827835,10.004748668000001
241.0,-3.997191213,-2.4902272775,8.824836668500001,10.0028612455
242.0,-4.0308054095,-2.5033238410000003,8.810213849,10.00669981
243.0,-3.9888019915,-2.477993964,8.831337304,10.00218883
244.0,-4.014489534,-2.4947772065000002,8.816189798,10.003261935000001
245.0,-4.028654419,-2.4970187875,8.807280639,10.001667954999998
246.0,-4.031372932,-2.5073634455000002,8.804528675,10.002927790000001
247.0,-4.0384839905,-2.496608626,8.803302968,10.002028635
248.0,-4.0410611405,-2.4996276065,8.800448373999998,10.001311300000001
249.0,-4.0459384400000005,-2.50030485,8.7994541305,10.00257822
250.0,-4.044636414999999,-2.4928122459999997,8.7999310495,10.0006001485
251.0,-4.0469495355,-2.499279446,8.7982427225,10.00166536
252.0,-4.0498111285,-2.493479951,8.79336848,9.997086718999999
253.0,-4.049653741,-2.4938328810000003,8.792095055,9.995990895999999
254.0,-4.0479415544999995,-2.4998183794999997,8.791694428,9.99644286
255.0,-4.0485806435,-2.498864515,8.7940504885,9.9985334925
256.0,-4.051284849,-2.4942001185,8.795099733499999,9.999386136
257.0,-4.0444742575,-2.5039581505,8.797689459,10.0013466
258.0,-4.04797494,-2.494128579,8.799768894500001,10.002135615
259.0,-4.048547258499999,-2.4975863365,8.7998261145,10.003280790000002
260.0,-4.047073538,-2.500963016,8.7993015005,10.003067235
261.0,-4.051861937,-2.495220753,8.799954929,10.00414588
262.0,-4.0466299915,-2.5058277245,8.7993396535,10.004137995
263.0,-4.0504931420000005,-2.496656319,8.800503382999999,10.004431515
264.0,-4.04931035,-2.5023031954999997,8.799353975999999,10.004352955000002
265.0,-4.0487237235,-2.501339793,8.8007275615,10.005083339999999
266.0,-4.061109651000001,-2.49981361,8.798381043500001,10.00765737
267.0,-4.257854003,-2.5021935405,8.69893601,10.00367004
268.0,-4.4370709855,-2.461182107,8.607007228,9.991337507499999
269.0,-4.285826107,-2.4753088565,8.699885094999999,10.010258839999999
270.0,-4.141468082,-2.4996180734999998,8.761414026499999,10.00814772
271.0,-4.113057105,-2.466876676,8.7784309595,10.003180924999999
272.0,-4.0977618865,-2.4723184715,8.786877407999999,10.005661575000001
273.0,-4.082118517,-2.457733887,8.797579809,10.005088435000001
274.0,-4.068230250999999,-2.4605096315,8.801714839999999,10.00375577
275.0,-4.047541002,-2.4034255875,8.832844419,10.008972215
276.0,-3.9919592615,-2.4217255095,8.8476103745,10.00403713
277.0,-3.98991322,-2.4263803675,8.848840901500001,10.00544328
278.0,-3.9878663615,-2.4317335875,8.850361943500001,10.007263380000001
279.0,-3.9840183390000004,-2.429814279,8.852718374,10.00734901
280.0,-3.9862026879999997,-2.436801335,8.852527611,10.0097483
281.0,-3.9858211425,-2.426461446,8.852851920500001,10.007371084999999
282.0,-3.984476194,-2.4285170235,8.8531809915,10.007626175
283.0,-3.9730679770000004,-2.4364436355,8.857153851,10.00853337
284.0,-3.9723191934999997,-2.426695143,8.859958225,10.008348035000001
285.0,-3.9657947614999998,-2.4280591685,8.8617419435,10.00767238
286.0,-3.9702159225,-2.427663315,8.860616374,10.008332185
287.0,-3.9748135485000002,-2.4230466115000002,8.8589089495,10.007525475000001
288.0,-3.9697029534999997,-2.4323952635,8.859628888500001,10.00840311
289.0,-3.9737833755,-2.4256220455,8.8598532885,10.00857625
290.0,-3.9738024525,-2.425974975,8.860287307,10.009053825
291.0,-3.9686992785,-2.434850682,8.860077461,10.008999254999999
292.0,-3.971804107,-2.4257269705,8.859867605,10.00782864
293.0,-3.971340166,-2.4288900985,8.8588370925,10.007500570000001
294.0,-3.9702484305,-2.430759616,8.8585566285,10.007273165
295.0,-3.973335059,-2.4249257245,8.859600521,10.008005945
296.0,-3.974575083,-2.4313213845,8.858050462,10.008677835
297.0,-4.0380452810000005,-2.470653989,8.817220064499999,10.007847824999999
298.0,-4.08928087,-2.4943050099999997,8.7858175715,10.006728145
299.0,-4.0517331745,-2.5117703015,8.797064769999999,10.005703995000001
300.0,-4.0602390985,-2.5118770745,8.794429965500001,10.006851675
301.0,-4.0571620075000006,-2.5205554655,8.793215512,10.006718620000001
302.0,-4.0598982435,-2.5137877215,8.793902646,10.006729195
303.0,-4.05831006,-2.5155476009999997,8.7924575365,10.00525902
304.0,-4.0589491485,-2.5167828555,8.792901073,10.006217875
305.0,-4.060642258,-2.5111121325,8.7925433755,10.005165054999999
306.0,-4.061112169,-2.521840759,8.7893806255,10.00527495
307.0,-4.044984596,-2.4893258865,8.8064937455,10.00570568
308.0,-4.059936398,-2.494400432,8.7988198515,10.006227764999998
309.0,-4.089978393,-2.5347823055000003,8.772121169,10.005175524999999
310.0,-4.0893392644999995,-2.5657399915,8.764399600499999,10.006019460000001
311.0,-4.085170878,-2.5769193575,8.7627685115,10.005762015
312.0,-4.087278918,-2.575159469,8.7606080045,10.004276865000001
313.0,-4.083525481000001,-2.5784073865,8.765491814499999,10.0078589
314.0,-3.9898512525,-2.8068962415,8.729407096,10.000148873
315.0,-4.0212954265,-2.9577166520000002,8.665135731500001,10.000179184
316.0,-4.0952485775,-2.9466613705,8.629132115,9.995868246
317.0,-4.179742002999999,-2.842203579,8.658783057,10.026434815
318.0,-4.477614299,-2.8303171245,8.4863997615,10.008847414
319.0,-4.0382217965,-2.3306981205,8.980521806999999,10.1422300865
320.0,-0.94410718165,-7.516601003,5.1879584735,9.793084146
321.0,0.18137746594999998,-9.776622491,1.750581145,9.9500140215
322.0,1.279376496,-9.823256950000001,2.275893794,10.301693928999999
323.0,1.14090387475,-9.514548018500001,0.6227022935765001,9.626488479
324.0,0.6412358964,-10.17126039,1.8091913800000001,10.362293605
325.0,0.7564723520000001,-9.662187265,0.69149982062,9.7607924575
326.0,0.7973550134499999,-9.9055659505,0.27854295225000003,9.9470094395
327.0,1.105091007,-9.688795329000001,0.12498495895000002,9.756002012500002
328.0,1.1635581757,-9.7292296,0.37030955445,9.8077988655
