"t (s)","Inclination (deg)","Rotation (deg)"
4.428145654E1,7.128870001E1,-1.204177462E2
4.478885954E1,7.130937676E1,-1.204183640E2
4.529626304E1,7.125341507E1,-1.203856066E2
4.580366604E1,7.122859849E1,-1.203930168E2
4.631107029E1,7.121130228E1,-1.204105565E2
4.681847329E1,7.125631258E1,-1.204150784E2
4.732587762E1,7.135537274E1,-1.204133993E2
4.783328163E1,7.127055541E1,-1.204314731E2
4.834068512E1,7.120561084E1,-1.203897448E2
4.884808812E1,7.120055409E1,-1.204084414E2
4.935549237E1,7.118140615E1,-1.204086918E2
4.986289638E1,7.123253872E1,-1.204070957E2
5.087770450E1,7.124654440E1,-1.204269196E2
5.138510854E1,7.119834811E1,-1.203977714E2
5.189251254E1,7.116775139E1,-1.204110447E2
5.239991625E1,7.114058628E1,-1.204068407E2
5.290732025E1,7.123065961E1,-1.204323566E2
5.341472400E1,7.130535108E1,-1.204392479E2
5.392212800E1,7.122057283E1,-1.204186913E2
5.442953275E1,7.117643155E1,-1.203975269E2
5.493693775E1,7.115624819E1,-1.204403285E2
5.544434112E1,7.121290209E1,-1.204242584E2
5.595174512E1,7.128588712E1,-1.204334334E2
5.645914925E1,7.126393416E1,-1.204236730E2
5.696655425E1,7.115257877E1,-1.204428671E2
5.747395825E1,7.115898079E1,-1.204381080E2
5.798136225E1,7.116408221E1,-1.204361583E2
5.848876775E1,7.133268832E1,-1.204201550E2
5.899617175E1,7.123514826E1,-1.204681712E2
5.950357612E1,7.120318960E1,-1.204027866E2
6.001098050E1,7.110131774E1,-1.204485950E2
6.051838550E1,7.109269103E1,-1.204604852E2
6.102579004E1,7.124748447E1,-1.204418953E2
6.153319404E1,7.129467627E1,-1.204350097E2
6.204059954E1,7.119256519E1,-1.203980448E2
6.254800454E1,7.109763759E1,-1.204019238E2
6.305540950E1,7.106596124E1,-1.204349137E2
6.356281350E1,7.122571929E1,-1.204269171E2
6.407021863E1,7.135354898E1,-1.204489775E2
6.457762362E1,7.126594779E1,-1.204375283E2
6.508502892E1,7.119612580E1,-1.204594150E2
