"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.523594484E2,1.461943898E2,-1.210506922E2
1.528668604E2,1.460139645E2,-1.209187706E2
1.533742723E2,1.457753405E2,-1.210767251E2
1.538816843E2,1.449177388E2,-1.209952030E2
1.543890963E2,1.448131662E2,-1.210025443E2
1.548965082E2,1.450834828E2,-1.210718197E2
1.554039208E2,1.451858507E2,-1.209350329E2
1.559113327E2,1.455483728E2,-1.209322847E2
1.564187447E2,1.452540469E2,-1.209599256E2
1.569261567E2,1.452426113E2,-1.209750877E2
1.574335688E2,1.452400402E2,-1.209759703E2
1.579409808E2,1.453450197E2,-1.209705992E2
1.584483929E2,1.454586067E2,-1.209942003E2
1.589558049E2,1.456662781E2,-1.209953567E2
1.594632164E2,1.454532398E2,-1.209664181E2
1.599706284E2,1.453266609E2,-1.209640921E2
1.604780402E2,1.451933361E2,-1.209442760E2
1.609854522E2,1.445385710E2,-1.208998652E2
1.614928647E2,1.441613616E2,-1.209337830E2
1.620002758E2,1.444810130E2,-1.209708648E2
1.625076879E2,1.447442069E2,-1.210017610E2
1.630150999E2,1.448804285E2,-1.209782924E2
1.635225108E2,1.449979428E2,-1.210103397E2
1.640299228E2,1.449730987E2,-1.209846054E2
1.645373355E2,1.449275308E2,-1.209696333E2
1.650447475E2,1.448305152E2,-1.209512517E2
1.655521595E2,1.450446153E2,-1.209979177E2
1.660595715E2,1.452006226E2,-1.210146933E2
1.665669827E2,1.449317635E2,-1.209692287E2
1.670743948E2,1.448339770E2,-1.209405493E2
1.675818062E2,1.447844815E2,-1.209408951E2
1.680892182E2,1.447693434E2,-1.209245904E2
1.685966300E2,1.447938705E2,-1.209435157E2
1.691040420E2,1.450094126E2,-1.209703069E2
1.696114530E2,1.450677549E2,-1.209789758E2
1.701188669E2,1.449149514E2,-1.209490576E2
1.706262789E2,1.448653593E2,-1.209274614E2
1.711336898E2,1.448345745E2,-1.209893969E2
1.716411018E2,1.447263575E2,-1.209551939E2
1.721485137E2,1.449417972E2,-1.209835487E2
1.731633359E2,1.448346942E2,-1.209288619E2
1.736707479E2,1.443476881E2,-1.208753326E2
1.741781598E2,1.441472839E2,-1.209482559E2
1.746855718E2,1.443583440E2,-1.210350536E2
1.751929845E2,1.440417643E2,-1.211261251E2
1.757003955E2,1.441766079E2,-1.210539993E2
1.762078078E2,1.441117553E2,-1.210024739E2
1.767152198E2,1.440138471E2,-1.210767146E2
1.772226319E2,1.443011957E2,-1.210899305E2
1.777300439E2,1.437059448E2,-1.209887186E2
1.782374540E2,1.440020291E2,-1.211400636E2
1.787448660E2,1.440483954E2,-1.210200543E2
1.792522784E2,1.449283358E2,-1.210354867E2
1.797596904E2,1.463706356E2,-1.211292726E2
1.802671024E2,1.468724902E2,-1.210670789E2
1.807745144E2,1.463772605E2,-1.210231270E2
1.812819251E2,1.457805443E2,-1.208112048E2
1.817893371E2,1.460395168E2,-1.204643322E2
1.822967501E2,1.449870969E2,-1.196601269E2
1.828041621E2,1.449091156E2,-1.196450548E2
1.833115736E2,1.450451916E2,-1.197352213E2
1.838189856E2,1.452809599E2,-1.197232983E2
1.843263975E2,1.450473224E2,-1.196735332E2
1.848338095E2,1.447546771E2,-1.196648090E2
1.853412218E2,1.447075077E2,-1.196812564E2
1.858486327E2,1.446102627E2,-1.196498081E2
1.863560447E2,1.446374906E2,-1.196346859E2
1.868634567E2,1.447094273E2,-1.196243614E2
1.873708681E2,1.446381496E2,-1.196421978E2
1.878782801E2,1.446347641E2,-1.196405986E2
1.883856921E2,1.446039898E2,-1.196270029E2
1.888931041E2,1.447244323E2,-1.196728141E2
1.894005161E2,1.447892976E2,-1.196911014E2
1.899079281E2,1.446742572E2,-1.196514170E2
1.904153401E2,1.446051732E2,-1.196372323E2
1.909227521E2,1.446225288E2,-1.196587482E2
1.914301649E2,1.445950252E2,-1.196483434E2
1.919375779E2,1.446361358E2,-1.196525529E2
1.924449895E2,1.447757943E2,-1.197064592E2
1.929524015E2,1.446464983E2,-1.196662406E2
1.934598137E2,1.445946114E2,-1.196609745E2
1.939672257E2,1.445713368E2,-1.196454803E2
1.944746375E2,1.445561290E2,-1.196604062E2
1.949820495E2,1.445524627E2,-1.196526375E2
1.954894615E2,1.446199471E2,-1.196758451E2
1.959968745E2,1.448231882E2,-1.197210820E2
1.970116981E2,1.445738826E2,-1.196797291E2
1.975191099E2,1.445399612E2,-1.196737480E2
1.980265219E2,1.445416303E2,-1.196660955E2
1.985339351E2,1.445431545E2,-1.196681413E2
1.990413471E2,1.446235867E2,-1.196966528E2
1.995487589E2,1.447610778E2,-1.197224066E2
2.000561709E2,1.445999129E2,-1.196750152E2
2.005635841E2,1.445423947E2,-1.196656065E2
2.010709961E2,1.445530652E2,-1.196688212E2
2.015784082E2,1.445476667E2,-1.196605897E2
2.020858202E2,1.445412585E2,-1.196681717E2
