"Time (s)","Sound pressure level (dB)"
4.117142254E2,-4.923113584E1
4.122686631E2,-4.776484343E1
4.128094554E2,-4.088572972E1
4.133652004E2,-3.387464611E1
4.139112333E2,-3.792636660E1
4.144756178E2,-3.492010646E1
4.150272330E2,-4.780736352E1
4.155858943E2,-4.059951364E1
4.161388250E2,-4.410188587E1
4.166823924E2,-4.150929291E1
4.172288214E2,-4.525974375E1
4.177795375E2,-4.051505244E1
4.183035699E2,-4.561712338E1
4.188433993E2,-4.939164242E1
4.193872718E2,-4.552283852E1
4.199284090E2,-4.536187964E1
4.204652023E2,-4.384406341E1
4.209985217E2,-4.343359650E1
4.215497831E2,-4.104515726E1
4.220757581E2,-3.956748782E1
4.226188463E2,-3.983899332E1
4.231645602E2,-4.065634823E1
4.237289002E2,-4.315322392E1
4.242790379E2,-4.604635335E1
4.248241595E2,-4.420957751E1
4.253743537E2,-4.496826236E1
4.259214894E2,-4.370809104E1
4.264708866E2,-4.684310364E1
4.270282510E2,-4.697297186E1
4.275735244E2,-4.438409089E1
4.281146498E2,-4.703282360E1
4.286638056E2,-4.470618877E1
4.292118537E2,-4.459090340E1
4.297666452E2,-4.261244293E1
4.303164865E2,-4.378778411E1
4.308692839E2,-4.429081853E1
4.314259164E2,-4.711914552E1
4.319641513E2,-4.394694992E1
4.325195636E2,-4.670309691E1
4.330504781E2,-4.570927999E1
4.335982009E2,-4.756445585E1
4.341370181E2,-4.402779063E1
4.346827575E2,-4.247588680E1
4.352282835E2,-4.345871912E1
4.357766138E2,-4.940310651E1
4.363209777E2,-4.808196889E1
4.368759731E2,-4.760880466E1
4.374201435E2,-4.909805344E1
4.379560595E2,-4.655669723E1
4.384869380E2,-4.599538197E1
4.390338054E2,-4.179888701E1
4.395653715E2,-3.545882114E1
4.401103168E2,-4.435804274E1
4.406433010E2,-3.667406705E1
4.411868293E2,-4.330762521E1
4.417316189E2,-4.486680201E1
4.422742831E2,-4.327629293E1
4.428353918E2,-4.296713154E1
4.433950303E2,-2.822867575E1
4.439142853E2,-3.066772300E1
4.444535722E2,-4.285301370E1
4.449731395E2,-3.106059049E1
4.455232951E2,-4.379651525E1
4.460684633E2,-4.508730913E1
4.466112414E2,-4.539026425E1
4.471652438E2,-3.433135046E1
4.477175207E2,-4.041981589E1
4.482827073E2,-4.219617620E1
4.488475147E2,-4.591038113E1
4.493911255E2,-4.720788334E1
4.499423432E2,-4.581730215E1
4.504841463E2,-4.254637475E1
4.510364868E2,-4.727678047E1
4.515791645E2,-4.660139295E1
4.521289716E2,-4.607108016E1
4.526834895E2,-4.361982768E1
4.532251414E2,-4.366516790E1
4.537888586E2,-4.208271972E1
4.543430318E2,-4.162826217E1
4.548712932E2,-3.742058190E1
4.554149041E2,-3.255611229E1
4.559511952E2,-4.059476148E1
4.564967546E2,-3.253367612E1
4.570416522E2,-3.845853992E1
4.575920405E2,-4.475696529E1
4.581371145E2,-4.029200443E1
4.586822792E2,-4.625123577E1
4.592194832E2,-3.500599766E1
4.597674029E2,-4.541546662E1
4.603033989E2,-3.625609650E1
4.608378049E2,-3.372867952E1
4.613866554E2,-4.693695886E1
4.619321803E2,-4.628035917E1
4.624752393E2,-4.395925067E1
4.630376782E2,-4.658927792E1
4.635789230E2,-4.524543281E1
4.641307243E2,-4.440126927E1
