Time (s),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY
1396,53,0,0,0,1173.0875589622642,380.8690300707547
1404,1,0,0,1,1047.8125,519.44921875
1405,93,0,0,0,1037.925025201613,799.3698336693549
1406,21,0,0,1,1251.3677201704545,868.9074928977273
1407,22,0,0,0,1055.1136363636363,676.0523792613636
1408,16,0,0,0,1003.078125,439.774169921875
1412,51,0,0,0,821.4959405637255,153.17080269607843
1413,26,0,0,0,981.8213641826923,373.423828125
1423,42,0,0,0,783.0228794642857,334.16099330357144
1425,56,0,0,0,261.26346261160717,62.023716517857146
1426,7,0,0,0,256.44363839285717,72.07142857142857
1427,91,0,0,1,100.95881453804348,32.58738111413044
1428,61,0,0,0,435.82428278688525,308.9704149590164
1429,44,0,0,0,602.4977805397727,325.560546875
1430,0,0,40,0,215.484375,418.640625
1431,0,0,22,0,215.484375,418.640625
1433,65,0,0,0,656.8935096153846,450.77283653846155
1434,28,0,0,0,818.80859375,448.01102120535717
1436,60,0,0,0,800.1296223958333,470.3626302083333
1437,47,0,0,0,818.5161236702128,495.4819647606383
1439,30,0,0,0,845.808984375,577.6473958333333
1440,75,0,0,0,831.50828125,571.6572395833333
1441,0,0,41,0,749.4453125,526.34765625
1442,0,0,30,0,749.4453125,526.34765625
1443,0,0,28,0,749.4453125,526.34765625
1445,0,0,25,0,749.4453125,526.34765625
1446,0,0,22,0,749.4453125,526.34765625
1447,0,0,15,0,749.4453125,526.34765625
1448,0,0,18,0,749.4453125,526.34765625
1457,0,0,21,0,749.4453125,526.34765625
1458,0,0,9,0,749.4453125,526.34765625
1460,0,0,18,0,749.4453125,526.34765625
1461,0,0,24,0,749.4453125,526.34765625
1462,0,0,14,0,749.4453125,526.34765625
1464,0,0,16,0,749.4453125,526.34765625
1465,0,0,19,0,749.4453125,526.34765625
1467,0,0,21,0,749.4453125,526.34765625
1468,0,0,13,0,749.4453125,526.34765625
1474,19,0,0,0,857.8170230263158,415.49424342105266
1497,21,0,0,0,360.7222842261905,643.4153645833334
1498,63,0,0,1,180.45703125,588.933349609375
1499,8,0,0,1,836.2981770833334,436.30902777777777
1500,55,0,0,1,772.6471819196429,582.7668108258929
1501,57,0,0,1,822.891635237069,502.51811691810343
1502,102,0,0,0,1183.8205805759803,854.7558976715686
1503,38,0,0,1,937.3755008012821,727.5547876602565
1504,65,0,0,1,141.5444483901515,92.61700994318181
1505,24,0,0,0,337.1036783854167,156.02620442708334
1506,0,1,0,0,,
1513,0,1,0,0,,
1525,38,0,0,0,512.0569490131579,361.7964638157895
1526,9,0,0,0,528.2890625,453.7864583333333
1545,0,1,0,0,,
1548,0,2,0,0,,
1550,0,3,0,0,,
1551,0,2,0,0,,
1552,0,1,0,0,,
1638,0,1,0,0,,
1717,21,0,0,0,514.3969494047619,441.9799107142857
1718,20,0,0,0,510.6859375,428.6712890625
1723,0,1,0,0,,
1731,0,1,0,0,,
1732,3,1,0,0,537.44140625,429.6158854166667
1733,115,0,0,1,1051.8531788793102,355.7268655711207
1734,37,0,0,0,766.7486275337837,521.3595861486486
1735,60,0,0,0,1050.5599609375,815.0514322916666
1736,39,0,0,1,241.5912109375,886.9453125
1737,96,0,0,0,1018.4972330729166,163.02970377604166
1738,12,0,0,1,1119.219951923077,92.21694711538461
1739,49,0,0,0,896.5577965561224,84.83227040816327
1740,19,0,0,1,623.9140625,191.60078125
1741,76,0,0,0,235.51115337171052,95.28685238486842
1742,54,0,0,1,801.6717329545454,392.0689630681818
1743,118,0,0,0,1138.6744902012713,601.3219345868644
1744,84,0,0,1,1136.866773897059,839.6149356617647
1745,4,0,0,0,1178.1669921875,867.7578125
1746,110,0,0,0,1162.3103693181818,705.2754616477273
1747,14,0,0,0,1169.4263392857142,670.8724888392857
1754,38,0,0,1,1175.320512820513,659.5616987179487
1755,30,0,0,0,688.8227864583333,757.4912760416667
1756,79,0,0,0,208.66134295886076,843.9295391613924
1757,7,0,0,1,140.23779296875,868.7001953125
1758,86,0,0,0,798.5345657703489,584.3989371366279
1759,45,0,0,1,1128.6069972826087,868.9143172554348
1760,54,0,0,0,682.4720775462963,630.072120949074
1761,79,0,0,1,203.63369140625,133.633203125
1762,22,1,0,1,494.70244565217394,423.59578804347825
1764,0,1,0,0,,
1803,51,0,0,0,571.6521905637255,393.08877144607845
1804,52,0,0,0,617.8612530048077,428.31527944711536
1811,50,0,0,0,629.942265625,454.798984375
1812,34,0,0,0,667.427734375,429.8971737132353
1813,0,1,0,0,,
1823,12,0,0,0,733.7620442708334,461.4436848958333
1824,86,0,0,1,1157.1038074712644,828.6125628591954
1825,1,0,0,0,1247.296875,881.65625
1826,42,0,0,0,1186.7313988095239,845.4996279761905
1827,50,0,0,0,1005.7409375,626.255390625
1828,47,0,0,1,331.7272135416667,807.7250162760416
1829,62,0,0,1,388.54706101190476,803.8415798611111
1830,13,0,0,1,964.3013392857143,716.80859375
1831,83,0,0,1,1337.9832124255952,603.8140811011905
1832,12,0,0,1,930.3933293269231,680.9753605769231
1833,0,2,0,0,,
