Time (s),Inclination (deg),Rotation (deg)
287.0,46.09136771,-114.5469454
288.0,46.006874885,-104.87209982499999
289.0,9.092134806999999,18.870916135
290.0,9.301922586,53.33962659
291.0,9.631030169499999,6.384391090000001
292.0,12.892671594500001,15.734125569
293.0,7.2311521525,24.9866290215
294.0,6.4168266905,-3.3705467130000004
295.0,11.48572351,-25.80263557395
296.0,41.333945465,-111.3164434
297.0,41.32145626,-133.0333923
298.0,29.85066913,-119.12585585
299.0,26.969131785000002,-112.54438139999999
300.0,26.11003796,-110.43130945
301.0,26.32247952,-110.3094074
302.0,26.19977386,-109.63467455
303.0,26.273975505,-110.0581364
304.0,26.356943885,-111.40160975
305.0,26.486038434999998,-110.37302265
306.0,26.54070152,-110.757881
307.0,24.26848071,-111.7635486
308.0,23.61095443,-110.655821
309.0,24.70555066,-109.83169545
310.0,25.22340604,-109.90431484999999
311.0,25.698672315,-111.25294405
312.0,25.459553385,-110.992251
313.0,25.31130271,-110.4456157
314.0,25.463913605000002,-110.78289419999999
315.0,25.495959625,-110.73258625
316.0,25.545611694999998,-110.71235515
317.0,25.49314904,-110.7911925
318.0,25.538909165,-110.676788
319.0,25.528570979999998,-110.8169666
320.0,25.56634386,-110.703254
321.0,25.54213774,-110.76224785
322.0,25.606918985,-110.64738700000001
323.0,25.561050875,-110.74741635000001
324.0,25.57529651,-110.81868904999999
325.0,26.318551375,-111.31056635
326.0,30.188969305,-113.49051165
327.0,36.50084367,-103.314652
328.0,41.301746234999996,-110.53290005
329.0,45.18739047,-113.49570595
330.0,56.70394249,-113.7679447
331.0,11.266799537499999,-3.855898350000004
332.0,6.3705011995,136.16832805
333.0,7.480724007,140.1442806
334.0,4.849518303,122.480587
335.0,14.141603431499998,13.584759730000002
336.0,4.1971349975,96.82485199
337.0,4.4169346905,61.604571555
338.0,24.130717100000002,-107.34940494
339.0,52.318672575,-135.6133975
340.0,37.088781125,-134.86434
341.0,23.596285105,-116.21471935
342.0,20.23730247,-118.1131066
343.0,19.582386014999997,-117.6190931
344.0,20.151101345,-117.20393290000001
345.0,20.28563319,-118.14206565
346.0,20.2933171,-117.40499505
347.0,20.477335699999998,-117.102948
348.0,20.44055446,-117.0435015
349.0,20.48408443,-117.0195884
350.0,20.483542985,-116.98437355
351.0,20.37166127,-117.1038602
352.0,20.38671974,-116.9914089
353.0,20.38898717,-116.9289257
354.0,20.31694943,-116.89731565
355.0,20.32070315,-116.76766905
356.0,20.478601285,-116.8084479
357.0,20.960414550000003,-116.70343755
358.0,21.93457181,-117.18053135
