Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
41.0,-3.3500748075,-2.697697765,9.017002417,9.990426575,-46.57948173,-3.3493355625000003,-2.697549916,9.0170167245,9.9901480885,-16.656115370000002,-20.381421585,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.003693411915,-0.009043076648,-0.0071088364745,0.012219108905,-0.054385824625,-0.057409498305,0.16522325845,0.1831934243,0.0,0.0,0.0,25.502052255,-128.84560119999998,-141.15439880000002,110.3814216,106.65611535,-128.84560119999998,0
42.0,-3.3095297995,-2.6814511855000003,9.036242158,9.9898381865,-49.111040895,-3.3095484185,-2.681350801,9.0362521355,9.989826523,-16.527941339999998,-20.115287505,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.0014749923242,0.0045886245117499,0.004985132067,0.0077979680785,-0.04245711319,-0.05010701929,0.1739982499,0.1863537462,0.0,0.0,0.0,25.238143655,-129.01513225,-140.98486775,110.1152875,106.52794135,-129.01513225,0
43.0,-3.31896932,-2.6824359365,9.033857223999998,9.9910760335,-48.496861665,-3.3190074745,-2.6825265535,9.03403369,9.9912725745,-16.53780819,-20.172942595,308.0,204.0,401.0,190.0,15.0,15.0,15.0,15.0,-0.0014567809732,0.0026652831745,0.00094749119445,0.0058208978074999,-0.03244211371,-0.04308182096,0.17842074045,0.186584348,0.0,0.0,0.0,25.2852375,-128.94561700000003,-141.05438299999997,110.1729426,106.5378082,-128.94561700000003,0
44.0,-3.3200519555,-2.68796358,9.032517036,9.9917096365,-46.892248835,-3.3202713445,-2.687896809,9.0323548775,9.991618022,-16.572344594999997,-20.181744535,300.3333333333333,204.33333333333337,396.0,192.33333333333337,15.0,15.0,15.0,15.0,0.0007734838529,0.0004891303935,0.0004795812155,0.0060980564275,-0.0536043057349999,-0.0526113945349999,0.1693441754,0.18530166115,0.0,0.0,0.0,25.31090857,-128.99414405,-141.00585595,110.18174455,106.5723446,-128.99414405,0
45.0,-3.3184541995,-2.6767413665,9.035936639,9.991260462,-50.664089625,-3.318125115,-2.6767175195,9.036032027,9.991230743,-16.501026825,-20.165801055000003,300.0,206.5,396.5,195.0,15.0,15.0,15.0,15.0,0.001297627917,-0.0010366168919999,0.003702961106,0.0060863233745,-0.04922324956,-0.0594912984,0.16898295585,0.18579518865,0.0,0.0,0.0,25.25951716,-128.89043615,-141.10956385,110.16580105,106.50102685,-128.89043615,0
46.0,-3.3214302845,-2.6773518395,9.034162457,9.9908068,-48.25772563,-3.3214255155,-2.6774090714999996,9.034191073,9.9908463615,-16.50764517,-20.186066935,295.14285714285717,207.07142857142856,391.8571428571428,195.92857142857144,15.0,15.0,15.0,15.0,-0.0003002687697,-0.0006641987525,-0.0013570450504999,0.003683217264,-0.055691887465,-0.06250719608,0.1645441055499999,0.1846999539,0.0,0.0,0.0,25.277864209999997,-128.87171035,-141.12828965,110.18606695,106.50764515,-128.87171035,0
47.0,-3.3254348125,-2.6817725809999997,9.0314756495,9.9908958205,-49.413390335,-3.3255687175,-2.681700793,9.0313993575,9.990852185,-16.53806006,-20.213960745,292.0,208.3571428571429,389.2142857142857,196.8571428571429,15.0,15.0,15.0,15.0,-0.0003068131387,-0.000337828887,0.0036560724845,0.0040573166695,-0.06827963936,-0.05817832721,0.16215800045,0.1853172593499999,0.0,0.0,0.0,25.315009535,-128.88420655,-141.11579345,110.21396075,106.53806005,-128.88420655,0
48.0,-3.3362152325,-2.6814439175,9.028515552,9.9917257495,-48.16102086,-3.336260866,-2.681489684,9.0284944345,9.991734131,-16.541272059999997,-20.280269644999997,297.53333333333336,209.86666666666667,396.06666666666666,199.0,15.0,15.0,15.0,15.0,0.0001655191784,-0.000211143054505,0.00017294632025,0.001063895985,-0.064438793395,-0.06158297781,0.1618982118,0.18481575945,0.0,0.0,0.0,25.36471804,-128.79014815,-141.20985185,110.28026965,106.5412721,-128.79014815,0
49.0,-3.3242346840000003,-2.689876078,9.030242069,9.9915594085,-49.47974823,-3.3241536055000003,-2.6898522309999997,9.0302086825,9.991495805,-16.587432839999998,-20.20979271,297.0,209.6,395.8666666666667,198.86666666666667,15.0,15.0,15.0,15.0,0.0011119493515,-0.00062918507815,-0.0009655285325,0.0052632282535,-0.06111193271,-0.063717039805,0.1634105274,0.18577170115,0.0,0.0,0.0,25.339587465,-128.97878935,-141.02121065,110.20979275,106.5874328,-128.97878935,0
50.0,-3.320953318,-2.6891320635,9.033075042,9.9928283275,-50.613490715,-3.3210725515,-2.6892512965,9.032974887,9.992809522,-16.578183625,-20.18563339,300.85714285714283,209.0,398.7857142857143,199.42857142857144,15.0,15.0,15.0,15.0,-0.00055491365564,0.001310360162725,0.0032658207043499,0.0042969065625,-0.052827696955,-0.065125645155,0.16708619255,0.18697456955,0.0,0.0,0.0,25.31697977,-128.99871385,-141.00128610000002,110.1856334,106.5781836,-128.99871385,0
