Time (s),Sound pressure level (dB)
350.0,-45.888152505
351.0,-46.81715008
352.0,-42.836880215
353.0,-40.970094950000004
354.0,-42.906077780000004
355.0,-41.79100484
356.0,-43.50921731
357.0,-42.615886180000004
358.0,-39.669925075
359.0,-33.550501935
360.0,-41.130478385
361.0,-45.317073095
362.0,-43.737864595
363.0,-26.06530796
364.0,-31.771826125
365.0,-36.704967655
366.0,-28.933425285
367.0,-30.964533095
368.0,-38.25882218
369.0,-39.141368064999995
370.0,-37.88531641
371.0,-38.62823708
372.0,-35.919487235000005
373.0,-34.676877515
374.0,-36.83639687
375.0,-38.83587609
376.0,-35.165793205
377.0,-42.098974325
378.0,-46.6010894
379.0,-41.239363295000004
380.0,-40.93812725
381.0,-40.700326495
382.0,-41.179965765000006
383.0,-39.145083555
384.0,-43.875398165
385.0,-32.952099804999996
386.0,-30.61463498
387.0,-32.46454011
388.0,-35.57996223
389.0,-33.585348735
390.0,-36.281399535
391.0,-36.346656675
392.0,-40.30088156
393.0,-42.320077555
394.0,-39.256587350000004
395.0,-42.057323515
396.0,-39.131069935
397.0,-40.53702105
398.0,-39.58838529
399.0,-34.02927273
400.0,-41.16940365
401.0,-38.902640305
402.0,-38.639353305
403.0,-42.00579482
404.0,-40.29117174
405.0,-42.971328764999996
406.0,-39.405357394999996
407.0,-36.16228878
408.0,-40.70312112
409.0,-46.83576353
410.0,-46.15869025
411.0,-40.912721895000004
412.0,-44.325286575
413.0,-35.900506355000005
414.0,-41.36373499
415.0,-40.59951364
416.0,-42.805589389999994
417.0,-42.887398094999995
418.0,-47.504382899999996
419.0,-45.44235908
420.0,-43.638829955
421.0,-40.30632254
422.0,-39.83899332
423.0,-41.904786075000004
424.0,-45.12796543
425.0,-44.3381767
426.0,-46.908037750000005
427.0,-44.38409089
428.0,-45.869506185
429.0,-43.601673165
430.0,-44.03930132
431.0,-45.53304772
432.0,-46.20618845
433.0,-47.56445585
434.0,-43.251838715
435.0,-46.430912815
436.0,-47.845386774999994
437.0,-47.827375335
438.0,-43.89713449
439.0,-35.45882114
440.0,-40.516054894999996
441.0,-44.08721361
442.0,-43.121712235
443.0,-29.448199375
444.0,-36.956802095
445.0,-44.44191219
446.0,-45.39026425
447.0,-37.375583175
448.0,-44.05327866499999
449.0,-46.512592745000006
450.0,-44.911577609999995
451.0,-46.60139295
452.0,-44.84545392
453.0,-42.87394381
454.0,-39.524422035
455.0,-36.575436885
456.0,-35.49610802
457.0,-44.75696529
458.0,-43.2716201
459.0,-40.21073214
460.0,-34.99238801
461.0,-46.608659015
462.0,-45.274264295
463.0,-45.24543281
464.0,-45.16700232
465.0,-43.214819235
466.0,-43.31271385
467.0,-36.788368745
468.0,-45.337486405
469.0,-43.82177618
470.0,-45.094005710000005
471.0,-41.25332934
472.0,-44.02821303
473.0,-43.67105712
474.0,-46.07694757
475.0,-46.94882461
476.0,-49.68185077
477.0,-50.16712881
478.0,-42.209010465
479.0,-45.44185641
480.0,-48.338898865000004
481.0,-50.85535809
482.0,-41.34545764
483.0,-44.815642305
484.0,-46.721895169999996
485.0,-47.537031999999996
486.0,-42.33810647
487.0,-47.53594405
488.0,-44.761472315
489.0,-38.490585915
490.0,-41.04446939
491.0,-30.329055035
492.0,-40.921928385
493.0,-16.66253287
494.0,-27.63234586
495.0,-47.341595299999994
496.0,-46.453071775
497.0,-47.7389367
498.0,-22.261794674
499.0,-55.51224099
500.0,-50.86650653
501.0,-49.628029795
502.0,-46.034371910000004
503.0,-44.56035877
504.0,-45.174669664999996
505.0,-47.34133334
506.0,-46.06874025
507.0,-47.16734729
508.0,-45.126748934999995
509.0,-45.289499615
510.0,-48.190956975000006
511.0,-47.03471596
512.0,-48.67741254
513.0,-44.96740321
514.0,-46.545997575
515.0,-41.79369105
516.0,-42.914982305
517.0,-46.597476799999995
518.0,-48.49135862
519.0,-47.10569504
520.0,-45.44799626
521.0,-47.757940145
522.0,-41.782547640000004
523.0,-45.798141349999995
524.0,-43.55202462
525.0,-47.168167870000005
526.0,-46.395643050000004
527.0,-48.149546525000005
528.0,-48.970613485
529.0,-49.684944055
530.0,-49.65149004
531.0,-49.25018078
532.0,-48.6466291
533.0,-49.593014135000004
534.0,-47.35680291
535.0,-47.938843215000006
536.0,-47.96099265
537.0,-49.02016005
538.0,-52.55116752
539.0,-48.450080625
540.0,-50.017764944999996
541.0,-50.109183955000006
542.0,-49.938190825
543.0,-50.93220965
544.0,-45.05166615
545.0,-39.423507564999994
546.0,-44.028780305
547.0,-43.690870355
548.0,-43.14112008
549.0,-42.1513068
550.0,-42.985510575000006
551.0,-42.524547229999996
552.0,-43.876089745
553.0,-43.1658257
554.0,-42.866940495
555.0,-45.46149067
556.0,-42.692540565
557.0,-43.180606049999994
558.0,-46.511703604999994
559.0,-45.962260065
560.0,-43.28134914
561.0,-45.78864471
562.0,-38.801162145
563.0,-36.35385816
564.0,-42.266372770000004
565.0,-44.712081865
566.0,-45.36561853
567.0,-47.55219061
568.0,-48.74474271
569.0,-50.523144255
570.0,-51.135645845
571.0,-49.599648235000004
572.0,-48.834596925
573.0,-50.99032731
574.0,-45.229974255
575.0,-48.407152464999996
576.0,-43.510414605
577.0,-35.868729965
578.0,-37.107960965000004
579.0,-35.58733536
580.0,-40.39714773
581.0,-29.51981253
582.0,-37.55535329
583.0,-35.344730325
584.0,-21.353570660000003
585.0,-21.112409755
586.0,-31.37642975
587.0,-35.73388082
588.0,-37.195889865
589.0,-29.144386235
590.0,-36.16631081
591.0,-36.37419079
592.0,-35.535766535
593.0,-15.01899637
594.0,-38.131756995
595.0,-40.263567300000005
596.0,-38.63344976
597.0,-28.55615208
598.0,-34.049752240000004
599.0,-34.30906315
600.0,-32.63346029
601.0,-33.459017779999996
602.0,-28.919359274999998
603.0,-25.043439585
604.0,-34.315306175
605.0,-23.26064856
606.0,-18.96780537
607.0,-26.082175714999998
608.0,-31.910570715
609.0,-32.597768134999995
610.0,-44.733725415
611.0,-26.18999623
612.0,-41.349792215
613.0,-39.0120907
614.0,-36.04380177
615.0,-33.172835505
616.0,-50.952972509999995
617.0,-39.00194056
618.0,-30.23614285
619.0,-31.46935217
620.0,-55.389917374999996
621.0,-63.70110131
622.0,-48.816390235
623.0,-62.57943488
624.0,-48.78906036
625.0,-19.35319841
626.0,-39.737898365
627.0,-25.901502954999998
628.0,-31.184960259999997
629.0,-29.787631025
630.0,-12.84556246
631.0,-31.130502245000002
632.0,-37.5969185
633.0,-55.584426765
634.0,-44.011688410000005
635.0,-44.714395235
636.0,-54.504869264999996
637.0,-69.9027281
638.0,-47.93177323
639.0,-35.859407855
640.0,-45.645729305
641.0,-56.18913712
642.0,-68.59400127
643.0,-64.39604047499999
644.0,-61.730558785
645.0,-66.44774473999999
646.0,-66.537772355
647.0,-55.489685385
648.0,-62.390574165
649.0,-68.35079753
650.0,-67.25620209
651.0,-67.290703375
652.0,-68.29908034
653.0,-67.64294561
654.0,-66.75785329
655.0,-68.16271777
656.0,-65.77680017
657.0,-67.22307855
658.0,-67.83927387
659.0,-67.49634848
660.0,-68.80117854
661.0,-67.58826372
662.0,-65.96839536499999
663.0,-63.99801549
664.0,-65.967473875
665.0,-64.711550725
666.0,-65.62049355
667.0,-64.04747379
668.0,-60.647055800000004
669.0,-64.61660438
670.0,-67.05633254
671.0,-53.808224210000006
672.0,-67.05828272
673.0,-66.88675555
674.0,-44.979299795
675.0,-44.41591098
676.0,-50.052251075
677.0,-45.16023638
678.0,-41.828082245000004
679.0,-47.54079744
680.0,-31.0222189
681.0,-36.063769375
682.0,-39.018159085
683.0,-48.08244462
684.0,-28.642616405
685.0,-32.946789
686.0,-38.065897925
687.0,-42.893528405
688.0,-22.84506049
689.0,-25.5169957
690.0,-24.396085795
691.0,-30.17061047
692.0,-30.89850934
693.0,-43.293359815
694.0,-16.81922109
695.0,-16.435124780000002
696.0,-29.090450705000002
697.0,-58.002351775
698.0,-34.03661418
699.0,-52.901705175000004
700.0,-66.89240342
701.0,-45.0000046
702.0,-49.828528355
703.0,-45.02547799
704.0,-39.426275905
705.0,-51.283868035
706.0,-57.0546118
707.0,-60.465822695
708.0,-58.72577619
709.0,-52.48185013
710.0,-41.200229735
711.0,-47.915175239999996
712.0,-57.46992579
713.0,-65.94402018
714.0,-65.353876465
715.0,-64.315091865
716.0,-62.651855135000005
717.0,-57.522013875
718.0,-67.6822635
719.0,-66.36462852
720.0,-65.667020235
721.0,-66.645869855
722.0,-65.44952112499999
723.0,-59.01527707
724.0,-63.91858119
725.0,-65.16568538
726.0,-65.2498857
727.0,-63.99615466
728.0,-65.42395519
729.0,-67.43717003
730.0,-64.66356014
731.0,-59.227056325
732.0,-67.33370289999999
733.0,-65.320925065
734.0,-57.23915388
735.0,-65.680021445
736.0,-67.09370479
737.0,-64.872469795
738.0,-66.82440769499999
739.0,-62.22572398
740.0,-63.000301895
741.0,-57.56261502
742.0,-51.742122089999995
743.0,-67.073344945
744.0,-59.14894104
745.0,-52.420760744999995
746.0,-46.232308095
747.0,-65.418397395
748.0,-70.62405247
749.0,-66.076128955
750.0,-62.94784776
751.0,-64.09735048499999
752.0,-65.31370684000001
753.0,-64.83241546
754.0,-67.825328795
755.0,-64.956593395
756.0,-65.569415185
757.0,-65.65731443
758.0,-62.089689455
759.0,-67.90314224
760.0,-64.79576507499999
761.0,-66.63480217
762.0,-64.70704159499999
763.0,-66.388076695
764.0,-62.53174075
765.0,-66.79475002000001
766.0,-66.159075235
767.0,-63.196269055
768.0,-68.72446575000001
769.0,-63.079607295
770.0,-65.703279985
771.0,-67.27133411
772.0,-65.553647535
773.0,-65.731163905
774.0,-67.079889295
775.0,-66.518216035
776.0,-65.09547223000001
777.0,-65.25262715
778.0,-68.39215362499999
779.0,-64.117663215
780.0,-53.323872539999996
781.0,-39.41465788
782.0,-37.29818091
783.0,-49.86527591
784.0,-46.901112825
785.0,-61.955984375
786.0,-66.20006638999999
787.0,-64.22798243
788.0,-60.27650325
789.0,-63.566786410000006
790.0,-64.30653063
791.0,-62.34485003
792.0,-66.43373459
793.0,-61.980867905
794.0,-65.8995604
795.0,-63.24908698
796.0,-68.170320275
797.0,-61.83762575
798.0,-63.1627177
799.0,-62.197989815
800.0,-65.62174174
801.0,-63.52953683
802.0,-64.47081432499999
803.0,-66.062304775
804.0,-68.87893965500001
805.0,-64.404125335
806.0,-62.16073434
807.0,-64.0164441
808.0,-65.48511972
809.0,-65.23598848500001
810.0,-66.30653551
811.0,-67.406382165
812.0,-66.87230384
813.0,-62.31532908
814.0,-63.389140215
815.0,-60.36110768
816.0,-67.49058575500001
817.0,-66.92871349
818.0,-50.037899949999996
819.0,-37.54279427
820.0,-64.91221697
821.0,-60.619540135
822.0,-65.2866201
823.0,-59.333815015
824.0,-64.26888433
825.0,-65.35453497
826.0,-65.62481013
827.0,-64.550999665
828.0,-63.77353558
829.0,-60.71999288
830.0,-37.206956149999996
831.0,-40.060742004999994
832.0,-39.825669335
833.0,-44.223314075000005
834.0,-29.187035015
835.0,-47.18932366
836.0,-59.358075095
837.0,-60.353658115
838.0,-53.882566145
839.0,-38.179207365
840.0,-54.391445579999996
841.0,-47.346826955
842.0,-47.718783925
843.0,-42.74457856
844.0,-46.916830555000004
845.0,-47.920969005
846.0,-43.676821505
847.0,-48.705808285
848.0,-50.592417604999994
849.0,-49.47117021
850.0,-51.165610295
851.0,-48.83604171
852.0,-47.86971067499999
853.0,-46.83400933
854.0,-50.897955315
855.0,-48.73831215
856.0,-50.52023372
857.0,-53.74659737499999
858.0,-50.67349237
859.0,-52.79826612
860.0,-52.789250075
861.0,-48.56788493
862.0,-53.71481758
863.0,-50.0873102
864.0,-48.960954615000006
865.0,-48.94853845
866.0,-49.895104755
867.0,-52.45441567
868.0,-48.22877714
869.0,-52.265329675000004
870.0,-49.91506357
871.0,-48.24456412
872.0,-55.730192439999996
873.0,-51.44231053
874.0,-50.229427709999996
875.0,-52.24697447
876.0,-47.619945275
877.0,-52.40989235
878.0,-44.76455577
879.0,-47.619754920000005
880.0,-48.464014845
881.0,-48.86290121
882.0,-47.428882185000006
883.0,-48.838550005
884.0,-49.73509647
885.0,-46.524219175
886.0,-49.340321204999995
887.0,-53.56603618
888.0,-50.20986614
889.0,-51.005758745
890.0,-52.116975655000005
891.0,-48.11115993
892.0,-51.763673175
893.0,-51.612130495
894.0,-47.07137258
895.0,-47.39351929
896.0,-50.168339485000004
897.0,-47.757816675
898.0,-44.53397571
899.0,-52.254431194999995
900.0,-52.57216284
901.0,-48.12981166
902.0,-50.618395355000004
903.0,-52.09784532
904.0,-53.36765073
905.0,-52.753452120000006
906.0,-54.05398142
907.0,-51.3327201
908.0,-49.76733155
909.0,-52.840392045
910.0,-52.122763715000005
911.0,-44.370056945
912.0,-45.4875112
913.0,-47.428647975000004
914.0,-51.247971745
915.0,-46.71829423
916.0,-38.207533944999994
917.0,-30.666771855
918.0,-43.40311846
919.0,-47.41844095
920.0,-54.80551382
921.0,-42.87168751
922.0,-40.128554635
923.0,-30.834544349999998
924.0,-36.89195373
925.0,-53.501320594999996
926.0,-48.483548170000006
927.0,-43.36954792
