Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
174.0,-3.9423344695,-1.9387453875,8.9840559485,10.0007002
175.0,-3.9468128625,-1.9332606675,8.982286544499999,9.999815257000002
176.0,-3.9497746109999996,-1.9336899065000002,8.981256351999999,10.000142108999999
177.0,-3.9502372350000003,-1.9358361,8.980941584,10.00045853
178.0,-3.9602528105,-1.931248014,8.9778176855,10.000727715
179.0,-3.9543102355,-1.9351445489999999,8.9798923525,10.00099169
180.0,-3.9512912555,-1.929917373,8.9809892755,9.9997727455
181.0,-3.9556408765,-1.9288395065,8.980602990000001,10.0009373
182.0,-3.9485107409999998,-1.936231955,8.981294514,10.000169552500001
183.0,-3.9531846760000002,-1.9281765705,8.9822531465,10.00132026
184.0,-3.9518654050000004,-1.931095584,8.981005728500001,10.000243745
185.0,-3.9473661040000003,-1.9319109485000001,8.9828731755,10.00029966
186.0,-3.9543489244999996,-1.9296617180000002,8.98029498,10.000309224999999
187.0,-3.9552545615,-1.9300652155,8.978347078999999,9.9989959225
188.0,-3.9561464245,-1.9324689595,8.978852636500001,10.0002683435
189.0,-3.9560844235,-1.9273610159999999,8.9789671005,9.999358762
190.0,-3.9586360105000002,-1.9295072105,8.9816999095,10.003236035
191.0,-3.944347123,-1.9367947325000001,8.981566374,9.998880912499999
192.0,-3.9502563124999996,-1.9302130715,8.982458236,10.00074022
193.0,-3.9519224145000003,-1.925677748,8.9816061115,9.9997600775
194.0,-3.9495988275,-1.927189035,8.984413876,10.001655335
195.0,-3.9456682255,-1.9260876009999999,8.985605984500001,10.0009700295
196.0,-3.9267054029999997,-1.9336946675,8.992182863,10.0008778725
197.0,-3.937014405,-1.9243026545,8.989300523499999,10.000528625000001
198.0,-3.9454011435,-1.9248094285000001,8.9854104355,10.0004345615
199.0,-3.939749346,-1.928607191,8.986573803999999,9.9999845975
200.0,-3.9476856485000003,-1.921437517,8.9848190225,10.0001559715
201.0,-3.9430546375,-1.928395957,8.985567849,10.0003413105
202.0,-3.9484360150000004,-1.920571178,8.984399992,9.999909675
203.0,-3.9487730535,-1.9228540029999999,8.9841084275,10.000219054999999
204.0,-3.947480567,-1.922625077,8.985477218,10.000895060000001
205.0,-3.951405719,-1.9215138265,8.98415612,10.001044324999999
206.0,-3.9460015055,-1.9263667249999998,8.984589530000001,10.00023468
207.0,-3.9527152599999997,-1.919129889,8.984124482,10.00107552
208.0,-3.9458150444999998,-1.925567636,8.985634024,10.00094442
209.0,-3.9509383255,-1.9202690329999998,8.9845948885,10.0010145865
210.0,-3.949474144,-1.9247855815000001,8.984113178000001,10.0008725785
211.0,-3.950115389,-1.921130346,8.983922452,10.0002518185
212.0,-3.9527871245000004,-1.916414766,8.98457245,10.000985764500001
213.0,-3.9481053485000004,-1.9218238275,8.985772930500001,10.001253909999999
214.0,-3.9531799065,-1.9173978985,8.9844422815,10.001212395
215.0,-3.9498890749999997,-1.9226680015,8.985515383500001,10.001889160000001
216.0,-3.9520400385,-1.915881255,8.9852101375,10.001161305
217.0,-3.951510644,-1.9167015765,8.9861878725,10.001987575
218.0,-3.9513575105000003,-1.920534662,8.984789496000001,10.001406735
219.0,-3.9535662215,-1.915809712,8.9847713465,10.001356470000001
220.0,-3.951448643,-1.9217713695,8.984642595,10.00154813
221.0,-3.95358053,-1.916162645,8.98458058,10.00125824
222.0,-3.9562704269999998,-1.9158287895,8.982892259,10.000741439999999
223.0,-3.9528412845,-1.9213469005000001,8.984275346499999,10.001686679999999
224.0,-3.9537951490000003,-1.9155998639999998,8.984270576499998,10.00095701
225.0,-3.9560748845,-1.9198493280000002,8.983187947,10.001701545
226.0,-3.9522855635000003,-1.921359545,8.983049434,10.000369360499999
227.0,-3.95100832,-1.910993796,8.986882983000001,10.001337195
228.0,-3.9984317524999997,-1.9466727285,8.958509085,10.001746905000001
229.0,-3.9540622145,-1.9287679445,8.980044961499999,9.999801112
230.0,-3.9875237905,-1.9477880095,8.958678388,9.997608701499999
231.0,-4.081951602,-1.997241117,8.9065402,9.999046072999999
232.0,-4.218425998500001,-2.2339141775,8.7609802395,9.978576453
233.0,-4.658005946499999,-3.476856527,8.127446879,9.9942462915
234.0,-5.024246569500001,-2.6404086204999997,8.190897837000001,9.971894656
235.0,-6.0703028539999995,-3.001627831,7.357257826,10.004564441
236.0,-6.133219818500001,-3.467877158,6.857084282000001,9.862406621
237.0,-5.521076808,-3.3123208045,7.7259791685,10.075663833499998
238.0,-5.412369539,-2.839513685,7.898414152,9.987166928499999
239.0,-5.352209285,-2.8084367335,7.940074217499999,9.978895161499999
240.0,-5.3465195235,-2.796088923,7.955331231500001,9.984532121
241.0,-5.341955283,-2.7708305435,7.965003423,9.982752579500001
242.0,-5.328940606,-2.7545604575000002,7.981995576499999,9.984862751000001
243.0,-5.324876343,-2.7499456815,7.986899373,9.9853429295
244.0,-5.320297794,-2.7458392954999997,7.990509772499999,9.984661163
245.0,-5.2930745075,-2.7188878599999997,8.0198221445,9.9863466765
246.0,-5.2740162985,-2.7106512415,8.033510122,9.9849975015
247.0,-5.281542288,-2.69007162,8.036877299,9.9861231625
248.0,-5.2701913025,-2.655160187,8.057590448500001,9.9874904005
249.0,-5.2593601575,-2.5584524985000003,8.0868502595,9.980237166999999
250.0,-5.1597782500000005,-2.908139083,8.0396289115,9.988880675499999
251.0,-4.965687647999999,-3.3417260375,8.004397014,9.9950805455
252.0,-4.912548937,-3.6845333195,7.8543933,9.9700163425
253.0,-4.9228363795,-3.664354331,7.8765610944999995,9.985105851
254.0,-4.929203419,-3.6441848695,7.8801810075,9.983706135
255.0,-4.932193783500001,-3.6275494679999998,7.8851744870000005,9.9830694235
256.0,-5.1386197675,-3.338609354,7.939559121,10.03417001
257.0,-4.1992577220000005,-3.6556930075,7.937137257,9.730623341000001
258.0,-5.3863051965,-2.619638198,8.098973867,10.0735434815
259.0,-5.3704615365,-2.6348703525,8.041840346,10.022851081999999
260.0,-5.2587474455,-2.7470433945000003,8.0119786405,9.9730238285
261.0,-4.9455240695,-2.677513974,8.2576826675,9.9908559875
262.0,-4.904050016,-2.703296951,8.283313096,9.998684648
263.0,-4.979586588,-2.6727875815,8.2282226085,9.9824569815
264.0,-4.9218777795,-2.729256398,8.255569919500001,9.991414941
265.0,-5.004580666,-2.6712778775,8.220089273500001,9.9876449915
266.0,-4.9467211655,-2.757524177,8.227235268000001,9.9880775755
267.0,-4.97359155,-2.821981621,8.1834433345,9.983466908
268.0,-5.152932528,-2.668557184,8.127031786,9.987732338499999
269.0,-4.9621070305,-2.570137372,8.312940125499999,10.016679534000001
270.0,-4.859032367999999,-2.5131868555,8.310660395500001,9.949644128500001
271.0,-4.8900043595,-2.5548612344999997,8.3335722545,9.994476757000001
272.0,-4.9000628595,-2.5995975035,8.343797683,10.019363218
273.0,-4.866697829,-2.556136439,8.31139553,9.9648872955
274.0,-4.884061791500001,-2.5802721955,8.327176584,9.992734503000001
275.0,-4.8996718015,-2.592600901,8.33920006,10.0135272155
276.0,-4.8638541375,-2.55214746,8.3062392395,9.958139100499999
277.0,-4.8963761815,-2.590173311,8.3258316315,10.000152264
278.0,-4.891273002,-2.585184591,8.302118533000002,9.976633248999999
279.0,-4.901329911,-2.5935807495,8.284493643,9.969103292
280.0,-4.8937150305,-2.6394839195,8.278812044999999,9.9726703195
281.0,-4.8994499125,-2.6381166005,8.280193119,9.976265545499999
282.0,-4.8986877675,-2.643054438,8.2830706395,9.9795864715
283.0,-4.9005588745,-2.642774259,8.285936044,9.9828087155
284.0,-4.900496873,-2.6440715145,8.288559173,9.9852994145
285.0,-4.908132537,-2.67647906,8.2835800495,9.993640394
286.0,-5.464464926,-3.2145687205,7.6698203565,9.959767766999999
287.0,-6.5785937955,-3.0069599470000004,6.963716887,10.04229682
288.0,-6.8452563455,-1.8875609544,6.9546456125,10.020882122
