Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:30, Mouse Move,,,954,520
2024-06-08 21:42:30, Mouse Move,,,957,516
2024-06-08 21:42:30, Mouse Move,,,960,513
2024-06-08 21:42:30, Mouse Move,,,961,512
2024-06-08 21:42:30, Mouse Move,,,962,512
2024-06-08 21:42:30, Mouse Move,,,964,512
2024-06-08 21:42:30, Mouse Move,,,964,511
2024-06-08 21:42:30, Mouse Move,,,965,511
2024-06-08 21:42:30, Mouse Move,,,967,510
2024-06-08 21:42:30, Mouse Move,,,969,508
2024-06-08 21:42:30, Mouse Move,,,972,506
2024-06-08 21:42:30, Mouse Move,,,979,502
2024-06-08 21:42:30, Mouse Move,,,990,495
2024-06-08 21:42:30, Mouse Move,,,1006,485
2024-06-08 21:42:30, Mouse Move,,,1021,475
2024-06-08 21:42:30, Mouse Move,,,1036,463
2024-06-08 21:42:30, Mouse Move,,,1045,456
2024-06-08 21:42:30, Mouse Move,,,1051,451
2024-06-08 21:42:31, Mouse Move,,,1029,458
2024-06-08 21:42:31, Mouse Move,,,964,474
2024-06-08 21:42:31, Mouse Move,,,902,484
2024-06-08 21:42:31, Mouse Move,,,862,485
2024-06-08 21:42:31, Mouse Move,,,839,485
2024-06-08 21:42:31, Mouse Move,,,824,485
2024-06-08 21:42:31, Mouse Move,,,816,483
2024-06-08 21:42:31, Mouse Move,,,809,482
2024-06-08 21:42:31, Mouse Move,,,806,481
2024-06-08 21:42:31, Mouse Move,,,803,481
2024-06-08 21:42:31, Mouse Move,,,802,480
2024-06-08 21:42:31, Mouse Move,,,799,480
2024-06-08 21:42:31, Mouse Move,,,798,480
2024-06-08 21:42:31, Mouse Move,,,797,480
2024-06-08 21:42:32, Mouse Move,,,786,472
2024-06-08 21:42:32, Mouse Move,,,758,452
2024-06-08 21:42:32, Mouse Move,,,713,417
2024-06-08 21:42:32, Mouse Move,,,683,395
2024-06-08 21:42:32, Mouse Move,,,667,382
2024-06-08 21:42:32, Mouse Move,,,657,375
2024-06-08 21:42:32, Mouse Move,,,651,370
2024-06-08 21:42:32, Mouse Move,,,646,366
2024-06-08 21:42:32, Mouse Move,,,641,362
2024-06-08 21:42:32, Mouse Move,,,636,360
2024-06-08 21:42:32, Mouse Move,,,632,356
2024-06-08 21:42:32, Mouse Move,,,627,353
2024-06-08 21:42:32, Mouse Move,,,623,351
2024-06-08 21:42:32, Mouse Move,,,621,348
2024-06-08 21:42:32, Mouse Move,,,618,347
2024-06-08 21:42:32, Mouse Move,,,617,346
2024-06-08 21:42:32, Mouse Move,,,616,345
2024-06-08 21:42:32, Mouse Move,,,614,345
2024-06-08 21:42:33, Mouse Move,,,613,336
2024-06-08 21:42:33, Mouse Move,,,613,330
2024-06-08 21:42:33, Mouse Move,,,613,325
2024-06-08 21:42:33, Mouse Move,,,614,321
2024-06-08 21:42:33, Mouse Move,,,615,318
2024-06-08 21:42:33, Mouse Move,,,615,316
2024-06-08 21:42:33, Mouse Move,,,616,315
2024-06-08 21:42:33, Mouse Move,,,617,313
2024-06-08 21:42:33, Mouse Move,,,619,312
2024-06-08 21:42:33, Mouse Move,,,619,311
2024-06-08 21:42:33, Mouse Move,,,619,310
2024-06-08 21:42:33, Mouse Move,,,620,310
2024-06-08 21:42:33, Mouse Move,,,620,308
2024-06-08 21:42:33, Mouse Move,,,621,308
2024-06-08 21:42:33, Mouse Move,,,621,307
2024-06-08 21:42:33, Mouse Move,,,622,307
2024-06-08 21:42:33, Mouse Move,,,625,307
2024-06-08 21:42:33, Mouse Move,,,626,307
2024-06-08 21:42:33, Mouse Move,,,629,307
2024-06-08 21:42:33, Mouse Move,,,634,308
2024-06-08 21:42:33, Mouse Move,,,640,310
2024-06-08 21:42:33, Mouse Move,,,650,311
2024-06-08 21:42:33, Mouse Move,,,661,315
2024-06-08 21:42:33, Mouse Move,,,669,316
2024-06-08 21:42:33, Mouse Move,,,675,318
2024-06-08 21:42:33, Mouse Move,,,677,319
2024-06-08 21:42:33, Mouse Move,,,679,319
2024-06-08 21:42:35, Mouse Move,,,680,319
2024-06-08 21:42:35, Mouse Move,,,680,320
2024-06-08 21:42:36, Mouse Move,,,680,321
2024-06-08 21:42:36, Mouse Move,,,680,323
2024-06-08 21:42:36, Mouse Move,,,679,324
2024-06-08 21:42:36, Mouse Move,,,678,324
2024-06-08 21:42:36, Mouse Move,,,678,325
2024-06-08 21:42:36, Mouse Move,,,677,325
2024-06-08 21:42:36, Mouse Move,,,677,326
2024-06-08 21:42:36, Mouse Move,,,676,326
2024-06-08 21:42:36, Mouse Move,,,674,328
2024-06-08 21:42:36, Mouse Move,,,673,329
2024-06-08 21:42:36, Mouse Move,,,673,330
2024-06-08 21:42:36, Mouse Move,,,672,331
2024-06-08 21:42:36, Mouse Move,,,671,333
2024-06-08 21:42:36, Mouse Move,,,671,335
2024-06-08 21:42:36, Mouse Move,,,669,339
2024-06-08 21:42:36, Mouse Move,,,668,346
2024-06-08 21:42:36, Mouse Move,,,668,359
2024-06-08 21:42:36, Mouse Move,,,670,386
2024-06-08 21:42:36, Mouse Move,,,681,450
2024-06-08 21:42:36, Mouse Move,,,695,511
2024-06-08 21:42:36, Mouse Move,,,705,551
2024-06-08 21:42:36, Mouse Move,,,710,575
2024-06-08 21:42:36, Mouse Move,,,712,589
2024-06-08 21:42:36, Mouse Move,,,715,598
2024-06-08 21:42:36, Mouse Move,,,715,604
2024-06-08 21:42:36, Mouse Move,,,716,608
2024-06-08 21:42:36, Mouse Move,,,716,611
2024-06-08 21:42:36, Mouse Move,,,717,615
2024-06-08 21:42:36, Mouse Move,,,717,618
2024-06-08 21:42:36, Mouse Move,,,717,620
2024-06-08 21:42:36, Mouse Move,,,719,623
2024-06-08 21:42:36, Mouse Move,,,719,624
2024-06-08 21:42:36, Mouse Move,,,731,705
2024-06-08 21:42:36, Mouse Move,,,745,806
2024-06-08 21:42:36, Mouse Move,,,757,898
2024-06-08 21:42:36, Mouse Move,,,771,976
2024-06-08 21:42:36, Mouse Move,,,786,1046
2024-06-08 21:42:36, Mouse Move,,,801,1111
2024-06-08 21:42:36, Mouse Move,,,820,1141
2024-06-08 21:42:36, Mouse Move,,,830,1109
2024-06-08 21:42:36, Mouse Move,,,839,1100
2024-06-08 21:42:36, Mouse Move,,,844,1091
2024-06-08 21:42:36, Mouse Move,,,847,1088
2024-06-08 21:42:36, Mouse Move,,,850,1083
2024-06-08 21:42:37, Mouse Move,,,856,1079
2024-06-08 21:42:37, Mouse Move,,,862,1078
2024-06-08 21:42:37, Mouse Move,,,870,1076
2024-06-08 21:42:37, Mouse Move,,,876,1075
2024-06-08 21:42:37, Mouse Move,,,882,1072
2024-06-08 21:42:37, Mouse Move,,,887,1071
2024-06-08 21:42:37, Mouse Move,,,891,1070
