"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
9.773043719E1,-1.322680211E1,-1.800303393E1
9.823205462E1,-1.321689018E1,-1.800551702E1
9.923446551E1,-1.323375702E1,-1.798775934E1
9.973519793E1,-1.322179558E1,-1.800836802E1
1.002368459E2,-1.321977026E1,-1.800567919E1
1.007384023E2,-1.320867332E1,-1.801763517E1
1.012392873E2,-1.322083661E1,-1.802037039E1
1.017410268E2,-1.320331859E1,-1.800381544E1
1.022420339E2,-1.325209921E1,-1.796236888E1
1.027426137E2,-1.324406891E1,-1.798426415E1
1.032441701E2,-1.321610807E1,-1.801132928E1
1.037454213E2,-1.323649342E1,-1.802106189E1
1.042468251E2,-1.322246095E1,-1.802981936E1
1.052503041E2,-1.325433734E1,-1.798868161E1
1.057522573E2,-1.327300100E1,-1.795897757E1
1.062534169E2,-1.322434098E1,-1.798916347E1
1.067546987E2,-1.324416359E1,-1.803194398E1
1.072548818E2,-1.322455606E1,-1.802616946E1
1.077564992E2,-1.323401860E1,-1.803207298E1
1.082584218E2,-1.323853814E1,-1.799178221E1
1.087601613E2,-1.324861258E1,-1.798267721E1
1.092603749E2,-1.324126494E1,-1.799936000E1
1.097622060E2,-1.324473424E1,-1.799936169E1
1.102636098E2,-1.322452261E1,-1.801532382E1
1.107645253E2,-1.323845899E1,-1.800777805E1
1.117677297E2,-1.326129566E1,-1.799456964E1
1.122684621E2,-1.325321664E1,-1.800089364E1
1.127690724E2,-1.324365185E1,-1.801040557E1
1.132700185E2,-1.325171445E1,-1.801803783E1
1.137709645E2,-1.326046509E1,-1.800130354E1
1.142717486E2,-1.325709553E1,-1.798103950E1
1.147728871E2,-1.329008159E1,-1.795071201E1
1.152738637E2,-1.325971931E1,-1.798200398E1
1.157739247E2,-1.321381912E1,-1.807457982E1
1.162749471E2,-1.324435069E1,-1.805096442E1
1.167760154E2,-1.323261363E1,-1.800520543E1
1.177789045E2,-1.321833692E1,-1.803178932E1
1.182803945E2,-1.321168843E1,-1.802650243E1
1.187809488E2,-1.321129357E1,-1.805236960E1
1.192820607E2,-1.320468352E1,-1.799172791E1
1.197823171E2,-1.323161295E1,-1.797397155E1
1.202831346E2,-1.323169925E1,-1.793063060E1
1.207841481E2,-1.318895863E1,-1.802565513E1
1.212850723E2,-1.319990189E1,-1.803710078E1
1.217867646E2,-1.322235424E1,-1.801145170E1
1.222877729E2,-1.321663693E1,-1.802613536E1
1.227890176E2,-1.327752859E1,-1.791498247E1
1.237905698E2,-1.332255830E1,-1.792750435E1
1.242916684E2,-1.354806763E1,-1.831380000E1
1.247931943E2,-1.368123378E1,-1.907697384E1
1.252947812E2,-1.414623830E1,-1.913083924E1
1.257964291E2,-1.668923514E1,-2.190142305E1
1.262978329E2,-1.656749694E1,-2.155472036E1
1.267993893E2,-1.573933700E1,-2.117600145E1
1.273011288E2,-1.560379583E1,-2.116457467E1
1.278028989E2,-1.557574320E1,-2.110373825E1
1.283038449E2,-1.558074466E1,-2.110045187E1
1.288057675E2,-1.561502223E1,-2.106334343E1
1.298084225E2,-1.547325649E1,-2.110684280E1
